sys_sch,systemid,systemname,schoolid,schoolname,amount_19,Federal_Amt_19,State_Local_Amt_19,excluded_19,dist_enroll_19,weight_19,centralcost_19,central_fed_amt_19,central_state_amt_19,Charter_Dist_Allocation_19,Charter_Fed_Dist_Allocation_19,Charter_State_Dist_Allocation_19,total_weighted_cc_19,total_weighted_cc_fed_19,total_weighted_cc_state_19,school_with_cc_19,school_with_cc_fed_19,school_with_cc_state_19,k12_enrollment_19,school_ppe_19,school_ppe_fed_19,school_ppe_sl_19,amount_23,Federal_Amt_23,State_Local_Amt_23,excluded_23,dist_enroll_23,weight_23,centralcost_23,central_fed_amt_23,central_state_amt_23,Charter_Dist_Allocation_23,Charter_Fed_Dist_Allocation_23,Charter_State_Dist_Allocation_23,total_weighted_cc_23,total_weighted_cc_fed_23,total_weighted_cc_state_23,school_with_cc_23,school_with_cc_fed_23,school_with_cc_state_23,k12_enrollment_23,school_ppe_23,school_ppe_fed_23,school_ppe_sl_23,amount_24,Federal_Amt_24,State_Local_Amt_24,excluded_24,dist_enroll_24,weight_24,centralcost_24,central_fed_amt_24,central_state_amt_24,Charter_Dist_Allocation_24,Charter_Fed_Dist_Allocation_24,Charter_State_Dist_Allocation_24,total_weighted_cc_24,total_weighted_cc_fed_24,total_weighted_cc_state_24,school_with_cc_24,school_with_cc_fed_24,school_with_cc_state_24,k12_enrollment_24,school_ppe_24,school_ppe_fed_24,school_ppe_sl_24,schoolyear,single_score_24,single_score_23,singlescore_19,PPE_Avg,State_Local_Exp_PPE_Avg,Federal_Exp_PPE_Avg,SS_Avg,FESR,note
644107,644,DeKalb County,107,Flat Rock Elementary School,7342355.91,485593.23,6856762.68,769635.8,92113,0.0105999996885657,310061613.73,27546096.05,282515517.69,0,0,0,3290782.25,291988.625,2998793.75,10633138,777581.875,9855556,977,10883.4599609375,795.890014648438,10087.5703125,7688863.71,728057.28,6960806.43,923542.57,84984,0.0109999999403954,415680236.8,66572340.14,349107896.65,0,0,0,4572482.5,732295.75,3840186.75,12261346,1460353,10800993,931,13170.080078125,1568.58996582031,11601.5,8654124.35,829920.44,7824203.91,1034994.59,83863,0.0109999999403954,475158386.419999,103497330.34,371661056.08,0,0,0,5226742,1138470.625,4088271.5,13880866,1968391.125,11912475,921,15071.51953125,2137.22998046875,12934.2802734375,2024,55.4,66.1,58.2,13041.69,11541.12,1500.57,59.9,1.5,
655193,655,Fannin County,193,Fannin County Middle School,6838956.8,341773.16,6497183.64,962539.78,2919,0.247999995946884,2524228.23,31639.51,2492588.72,0,0,0,626008.5625,7846.59814453125,618162,7464965.5,349619.75,7115345.5,724,10310.73046875,482.899993896484,9827.830078125,7533919.73,1253087.36,6280832.37,1662002.1,2717,0.227799996733665,3355577.43,75496.58,3280080.85,0,0,0,764400.5,17198.12109375,747202.4375,8298320,1270285.5,7028035,619,13406.009765625,2052.15991210938,11353.849609375,8107238.22,1155504.29,6951733.93,1054452.85,2728,0.228400006890297,3693742.2,276027.65,3417714.55,0,0,0,843650.75,63044.71875,780606,8950889,1218549,7732340,623,14367.400390625,1955.93994140625,12411.4599609375,2024,66.6,76.5,79.9,12694.71,11197.71,1497,74.3,3,
644191,644,DeKalb County,191,Browns Mill Elementary School,4867765.76,248933.23,4618832.53,439725.19,92113,0.0059000002220273,310061613.73,27546096.05,282515517.69,0,0,0,1831631.875,162521.96875,1669109.875,6699397.5,411455.1875,6287942,539,12429.3095703125,763.369995117188,11665.9404296875,4379520.51,263589.36,4115931.15,552814.15,84984,0.00419999985024333,415680236.8,66572340.14,349107896.65,0,0,0,1745856.875,279603.8125,1466253.125,6125377.5,543193.1875,5582184.5,355,17254.580078125,1530.11999511719,15724.4599609375,4957207,374153.35,4583053.65,665519.44,83863,0.00460000010207295,475158386.419999,103497330.34,371661056.08,0,0,0,2185728.75,476087.71875,1709640.875,7142935.5,850241.0625,6292694.5,387,18457.19921875,2197.01000976563,16260.1904296875,2024,61.2,65.3,71.3,16047.03,14550.2,1496.83,65.9,1.5,
6714050,671,Haralson County,4050,West Haralson Elementary School,3388813.98,217068.6,3171745.38,474684.18,3172,0.12610000371933,3779523.86,487412.55,3292111.31,0,0,0,476597.96875,61462.72265625,415135.25,3865412,278531.3125,3586880.75,400,9663.5302734375,696.330017089844,8967.2001953125,4554798.46,779975.82,3774822.64,613704.02,3239,0.118199996650219,4841225.7,939707.85,3901517.85,0,0,0,572232.875,111073.4609375,461159.40625,5127031.5,891049.25,4235982,383,13386.5,2326.5,11060,4710404.72,446377.2,4264027.52,799078.89,3253,0.115900002419949,5325716.76,912148.44,4413568.32,0,0,0,617250.5625,105718.0078125,511532.59375,5327655.5,552095.1875,4775560,377,14131.7099609375,1464.43994140625,12667.26953125,2024,81.9,86.9,74.3,12393.91,10898.16,1495.76,81,3.5,
706104,706,Muscogee County,104,North Columbus Elementary,4260792.51,59356.77,4201435.74,334215.53,30756,0.0225000008940697,74099076.16,6907776.18,67191299.98,0,0,0,1667229.25,155424.96875,1511804.25,5928022,214781.734375,5713240,693,8554.1396484375,309.929992675781,8244.2099609375,5673437.52,361113.38,5312324.14,559072.09,28692,0.0244999993592501,108295370.91,37233289.55,71062081.3600001,0,0,0,2653236.5,912215.5625,1741021,8326674,1273329,7053345,702,11861.3603515625,1813.85998535156,10047.5,6349480.46,533051.82,5816428.64,641038.34,28492,0.0247000008821487,124811001.58,45670225.81,79140775.77,0,0,0,3082831.75,1128054.625,1954777.25,9432312,1661106.5,7771206,703,13417.23046875,2362.8798828125,11054.349609375,2024,86.4,77.5,80.9,11277.58,9782.02,1495.56,81.6,4,
6443055,644,DeKalb County,3055,Dunaire Elementary School,4867728.19,252669.29,4615058.9,570899.38,92113,0.00510000018402934,310061613.73,27546096.05,282515517.69,0,0,0,1583320.75,140485.09375,1442835.75,6451049,393154.375,6057894.5,473,13638.580078125,831.190002441406,12807.3896484375,4981542.71,246910.98,4734631.73,455837.14,84984,0.00490000005811453,415680236.8,66572340.14,349107896.65,0,0,0,2036833.125,326204.46875,1710628.75,7018376,573115.4375,6445260.5,414,16952.599609375,1384.33996582031,15568.259765625,5256157.68,413589.88,4842567.8,488021.2,83863,0.00480000022798777,475158386.419999,103497330.34,371661056.08,0,0,0,2280760.25,496787.21875,1783973.125,7536918,910377.125,6626541,401,18795.310546875,2270.27001953125,16525.0390625,2024,71.7,67.4,74.3,16462.16,14966.9,1495.27,71.1,2,
7813050,781,Marietta City,3050,Hickory Hills Elementary School,5011548.92,407481.2,4604067.72,622047.26,8608,0.0428999997675419,14243438.65,953312.49,13290126.16,0,0,0,611043.5,40897.10546875,570146.4375,5622592.5,448378.3125,5174214,369,15237.3798828125,1215.11999511719,14022.259765625,6039372.14,374267.1,5665105.04,4618854.68,8561,0.046399999409914,25266794.58,3424773.81,21842020.77,0,0,0,1172379.25,158909.5,1013469.75,7211751.5,533176.625,6678575,397,18165.619140625,1343.01000976563,16822.609375,7010421.66,576208.19,6434213.47,4389051.19,8505,0.0465999990701675,30597615.48,4005916.2,26591699.28,0,0,0,1425848.875,186675.6875,1239173.125,8436271,762883.875,7673386.5,396,21303.7109375,1926.46997070313,19377.240234375,2024,87.6,78.7,76.4,18235.57,16740.7,1494.87,80.9,2.5,
695195,695,Madison County,195,Danielsville Elementary School,4867660.91,295278.21,4572382.7,944653.51,4814,0.0916000008583069,8074056.24000002,477683.29,7596372.95,0,0,0,739583.5625,43755.7890625,695827.75,5607244.5,339034,5268210.5,441,12714.83984375,768.780029296875,11946.0595703125,1958545.5,618771.96,1339773.54,1276257.53,4903,0.103000000119209,10392263.56,2546552.48,7845711.08,0,0,0,1070403.125,262294.90625,808108.25,3028948.5,881066.875,2147881.75,505,5997.919921875,1744.68994140625,4253.22998046875,6620227.3,664428.41,5955798.89,1300406.73,4941,0.101400002837181,11558575.5,3181798.17,8376777.33,0,0,0,1172039.625,322634.34375,849405.25,7792267,987062.75,6805204,501,15553.4296875,1970.18994140625,13583.240234375,2024,78.9,61.1,87.7,11422.06,9927.51,1494.55,75.9,3.5,
6951050,695,Madison County,1050,Colbert Elementary School,4510098.68,325356.59,4184742.09,1166348.44,4814,0.0904000028967857,8074056.24000002,477683.29,7596372.95,0,0,0,729894.6875,43182.5703125,686712.125,5239993.5,368539.15625,4871454,435,12045.9599609375,847.219970703125,11198.75,5242261.3,501058.01,4741203.29,1214287.99,4903,0.0912000015377998,10392263.56,2546552.48,7845711.08,0,0,0,947774.4375,232245.59375,715528.875,6190035.5,733303.625,5456732,447,13847.9501953125,1640.5,12207.4501953125,5865076.04999999,586803.94,5278272.11,1274215.91,4941,0.0878000035881996,11558575.5,3181798.17,8376777.33,0,0,0,1014843,279361.90625,735481.0625,6879919,866165.875,6013753,434,15852.349609375,1995.77001953125,13856.5703125,2024,68.3,89.4,87,13915.42,12420.92,1494.5,81.6,3,
621102,621,Candler County,102,Metter Middle School,3403002.78,325135.72,3077867.06,125375.43,2103,0.239700004458427,3066651.88,243857.27,2822794.61,0,0,0,735076.5,58452.58984375,676623.875,4138079.25,383588.3125,3754491,504,8210.4697265625,761.090026855469,7449.39013671875,4652876.55,986156.76,3666719.79,168385.37,2074,0.249799996614456,3903977.37,567035.28,3336942.09,0,0,0,975213.5625,141645.40625,833568.125,5628090,1127802.125,4500288,518,10865.0400390625,2177.21997070313,8687.8095703125,4957733.19,686895.73,4270837.46,179373.56,2024,0.252000004053116,4632369.34,400203.26,4232166.08,0,0,0,1167357.125,100851.2265625,1066505.875,6125090.5,787746.9375,5337343.5,510,12009.98046875,1544.59997558594,10465.3798828125,2024,75.1,68.4,60.9,10361.83,8867.53,1494.3,68.1,3.5,
