#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","601","Appling County","0103","Appling County High School","ALL Subjects","38","39","19"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Eng. Language & Comp","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Psychology","15","15","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","601","Appling County","ALL","All Schools","ALL Subjects","38","39","19"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Eng. Language & Comp","11","11","TFS"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Psychology","15","15","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","602","Atkinson County","0103","Atkinson County High School","ALL Subjects","27","27","TFS"
"AP COUNTS","2023-24","SCHOOL","602","Atkinson County","0103","Atkinson County High School","Eng. Literature & Comp","27","27","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","602","Atkinson County","ALL","All Schools","ALL Subjects","27","27","TFS"
"AP COUNTS","2023-24","DISTRICT","602","Atkinson County","ALL","All Schools","Eng. Literature & Comp","27","27","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","603","Bacon County","0302","Bacon County High School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","603","Bacon County","0302","Bacon County High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","603","Bacon County","ALL","All Schools","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","603","Bacon County","ALL","All Schools","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","605","Baldwin County","0189","Baldwin High School","ALL Subjects","174","275","32"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Biology","13","13","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Chemistry","35","35","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Eng. Language & Comp","28","28","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Eng. Literature & Comp","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Environmental Science","22","22","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Precalculus","16","16","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Psychology","17","17","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","U.S. History","49","49","TFS"
"AP COUNTS","2023-24","SCHOOL","605","Baldwin County","0189","Baldwin High School","World History","72","72","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","605","Baldwin County","ALL","All Schools","ALL Subjects","174","275","32"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Biology","13","13","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Chemistry","35","35","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Eng. Language & Comp","28","28","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Eng. Literature & Comp","11","11","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Environmental Science","22","22","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Gov. & Pol. U.S.","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Precalculus","16","16","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Psychology","17","17","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","U.S. History","49","49","TFS"
"AP COUNTS","2023-24","DISTRICT","605","Baldwin County","ALL","All Schools","World History","72","72","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","606","Banks County","0199","Banks County High School","ALL Subjects","80","91","43"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Economics: Micro","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Eng. Language & Comp","32","32","11"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Precalculus","46","46","26"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","606","Banks County","0199","Banks County High School","U.S. History","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","606","Banks County","ALL","All Schools","ALL Subjects","80","91","43"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Biology","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Economics: Micro","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Eng. Language & Comp","32","32","11"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Precalculus","46","46","26"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","606","Banks County","ALL","All Schools","U.S. History","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","607","Barrow County","0101","Apalachee High School","ALL Subjects","182","331","181"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Biology","27","27","12"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Capstone","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Chemistry","41","41","15"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Economics: Micro","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Eng. Language & Comp","38","38","19"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Eng. Literature & Comp","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Environmental Science","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Geography: Human","48","48","26"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Gov. & Pol. U.S.","10","10","10"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Physics 1","29","29","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Psychology","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","Statistics","20","20","13"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","U.S. History","36","36","31"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","0101","Apalachee High School","World History","29","29","21"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","607","Barrow County","3052","Winder-Barrow High School","ALL Subjects","209","333","200"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Biology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Calculus A","12","12","11"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Chemistry","13","13","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Economics: Micro","18","18","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Eng. Language & Comp","56","56","27"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Eng. Literature & Comp","16","16","13"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Environmental Science","20","20","18"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Geography: Human","46","46","18"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Gov. & Pol. U.S.","20","20","17"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Psychology","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Spanish Language","15","15","15"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","U.S. History","44","44","29"
"AP COUNTS","2023-24","SCHOOL","607","Barrow County","3052","Winder-Barrow High School","World History","38","38","26"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","607","Barrow County","ALL","All Schools","ALL Subjects","391","664","381"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Biology","35","35","19"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Calculus A","12","12","11"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Capstone","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Chemistry","54","54","20"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Economics: Micro","26","26","TFS"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Eng. Language & Comp","94","94","46"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Eng. Literature & Comp","23","23","19"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Environmental Science","31","31","23"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Geography: Human","94","94","44"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Gov. & Pol. U.S.","30","30","27"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Physics 1","36","36","TFS"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Psychology","18","18","TFS"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Spanish Language","21","21","19"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","Statistics","28","28","16"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","U.S. History","80","80","60"
"AP COUNTS","2023-24","DISTRICT","607","Barrow County","ALL","All Schools","World History","67","67","47"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","608","Bartow County","0105","Adairsville High School","ALL Subjects","337","794","381"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Art: Studio 2-D Design","14","14","10"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Biology","16","16","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Calculus A","35","35","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Calculus BC","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Capstone","63","63","51"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Capstone Research","67","67","51"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Computer Science A","30","30","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Computer Science Principles","45","45","20"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Economics: Micro","27","27","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Eng. Language & Comp","61","61","19"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Eng. Literature & Comp","41","41","24"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Environmental Science","32","32","11"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Geography: Human","37","37","21"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Gov. & Pol. U.S.","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Physics 1","43","43","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Physics C: Mechanics","26","26","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Precalculus","103","103","66"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Psychology","25","25","13"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","Statistics","15","15","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","U.S. History","30","30","24"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0105","Adairsville High School","World History","26","26","15"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","608","Bartow County","0114","Cass High School","ALL Subjects","251","492","240"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Biology","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Computer Science Principles","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Economics: Micro","50","50","38"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Eng. Language & Comp","49","49","15"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Eng. Literature & Comp","44","44","38"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Environmental Science","14","14","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","European History","13","13","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","French Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Geography: Human","47","47","12"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Gov. & Pol. Comp","32","32","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Music Theory","15","15","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Physics 1","13","13","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Precalculus","40","40","26"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Psychology","21","21","12"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Spanish Language","16","16","12"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","Statistics","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","U.S. History","35","35","22"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0114","Cass High School","World History","50","50","23"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","608","Bartow County","0195","Cass Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0195","Cass Middle School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0195","Cass Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0195","Cass Middle School","Spanish Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","608","Bartow County","0198","Woodland High School","ALL Subjects","295","629","374"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Art: Studio 2-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Biology","51","51","25"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Capstone","39","39","18"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Capstone Research","37","37","30"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Computer Science Principles","12","12","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Economics: Micro","25","25","15"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Eng. Language & Comp","67","67","32"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Eng. Literature & Comp","34","34","24"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Environmental Science","39","39","25"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","European History","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Geography: Human","24","24","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Gov. & Pol. U.S.","16","16","13"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Music Theory","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Precalculus","40","40","25"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Psychology","27","27","15"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Spanish Language","11","11","11"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","Statistics","28","28","13"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","U.S. History","65","65","48"
"AP COUNTS","2023-24","SCHOOL","608","Bartow County","0198","Woodland High School","World History","72","72","41"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","608","Bartow County","ALL","All Schools","ALL Subjects","889","1925","998"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Art: Studio 2-D Design","32","32","24"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Art: Studio 3-D Design","12","12","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Biology","79","79","40"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Calculus A","46","46","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Calculus BC","12","12","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Capstone","102","102","69"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Capstone Research","104","104","81"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Chemistry","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Chinese Lang. & Culture","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Computer Science A","30","30","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Computer Science Principles","67","67","32"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Economics: Micro","102","102","57"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Eng. Language & Comp","177","177","66"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Eng. Literature & Comp","119","119","86"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Environmental Science","89","89","39"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","European History","24","24","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","French Language","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Geography: Human","113","113","39"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Gov. & Pol. Comp","32","32","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Gov. & Pol. U.S.","27","27","20"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Music Theory","28","28","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Physics 1","62","62","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Physics C: Mechanics","26","26","TFS"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Precalculus","183","183","117"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Psychology","73","73","40"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Spanish Language","37","37","32"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","Statistics","52","52","18"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","U.S. History","130","130","94"
"AP COUNTS","2023-24","DISTRICT","608","Bartow County","ALL","All Schools","World History","148","148","79"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","ALL Subjects","37","37","12"
"AP COUNTS","2023-24","SCHOOL","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","Calculus A","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","World History","25","25","10"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","609","Ben Hill County","ALL","All Schools","ALL Subjects","37","37","12"
"AP COUNTS","2023-24","DISTRICT","609","Ben Hill County","ALL","All Schools","Calculus A","10","10","TFS"
"AP COUNTS","2023-24","DISTRICT","609","Ben Hill County","ALL","All Schools","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","609","Ben Hill County","ALL","All Schools","World History","25","25","10"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","610","Berrien County","0101","Berrien High School","ALL Subjects","86","112","46"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","Calculus A","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","Economics: Macro","10","10","TFS"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","Economics: Micro","18","18","TFS"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","Eng. Language & Comp","26","26","TFS"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","Environmental Science","17","17","TFS"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","Precalculus","21","21","11"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0101","Berrien High School","U.S. History","13","13","13"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","610","Berrien County","0106","Berrien Academy Performance Learning Center","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","610","Berrien County","0106","Berrien Academy Performance Learning Center","Eng. Literature & Comp","TFS","TFS","TFS"
