School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
ILA ELEMENTARY SCHOOL,Georgia,Ila Elementary School,Madison County,30633,1-Regular school,2-No,34.175500,-83.293400,Elementary,Kindergarten,5th Grade,452,235,111,39,274,382,†,†,70,224,228,0,5,46,7,369,0,25,452,13.29
INDEPENDENCE HIGH SCHOOL,Georgia,Independence High School,Fulton County,30075,4-Alternative Education School,2-No,34.019679,-84.362800,High,9th Grade,12th Grade,135,77,23,16,93,†,135,†,†,65,70,1,0,74,29,26,0,5,135,11.34
INDIAN CREEK ELEMENTARY,Georgia,Indian Creek Elementary,Coffee County,31535,1-Regular school,2-No,31.491200,-82.883200,Elementary,Prekindergarten,5th Grade,677,464,219,0,464,471,†,104,102,360,317,0,8,157,116,369,0,27,677,15.35
INDIAN CREEK ELEMENTARY SCHOOL,Georgia,Indian Creek Elementary School,DeKalb County,30021,1-Regular school,2-No,33.797110,-84.238042,Elementary,Prekindergarten,5th Grade,871,871,508,0,871,698,†,45,128,464,407,3,405,59,304,82,2,16,871,13.61
INDIAN CREEK MIDDLE SCHOOL,Georgia,Indian Creek Middle School,Newton County,30014,1-Regular school,2-No,33.568000,-83.853500,Middle,6th Grade,8th Grade,828,672,222,0,672,828,†,†,†,423,405,1,7,63,399,310,0,48,828,14.87
INDIAN KNOLL ELEMENTARY,Georgia,Indian Knoll Elementary,Cherokee County,30115,1-Regular school,2-No,34.200800,-84.458900,Elementary,Prekindergarten,5th Grade,896,261,191,61,322,743,†,31,122,458,438,1,9,178,54,601,0,53,896,14.74
INGRAM/PYE ELEMENTARY SCHOOL,Georgia,Ingram/Pye Elementary School,Bibb County,31204,1-Regular school,2-No,32.821027,-83.652786,Elementary,Prekindergarten,5th Grade,455,422,375,0,422,346,†,32,77,222,233,1,0,17,425,2,0,10,455,14.00
INMAN ELEMENTARY,Georgia,Inman Elementary,Fayette County,30215,1-Regular school,2-No,33.389564,-84.418657,Elementary,Prekindergarten,5th Grade,677,243,83,32,275,552,†,43,82,354,323,2,20,111,196,295,0,53,677,15.21
INNOVATION ACADEMY,GEORGIA,Innovation Academy,Fulton County,30009,1-Regular school,2-No,34.076791,-84.299103,High,9th Grade,12th Grade,1443,123,28,38,161,†,1443,†,†,840,603,2,608,105,170,499,1,58,1443,18.60
INTERNATIONAL ACADEMY OF SMYRNA,GEORGIA,International Academy of Smyrna,Cobb County,30080,1-Regular school,1-Yes,33.899778,-84.542782,Elementary,Kindergarten,5th Grade,301,224,99,38,262,250,†,†,51,136,165,1,4,81,202,0,0,13,301,10.75
INTERNATIONAL CHARTER ACADEMY OF GEORGIA,GEORGIA,International Charter Academy of Georgia,Gwinnett County,30092,1-Regular school,1-Yes,33.969340,-84.228248,Elementary,Kindergarten,5th Grade,231,13,7,0,13,183,†,†,48,116,115,0,86,29,43,11,1,61,231,16.74
INTERNATIONAL CHARTER SCHOOL OF ATLANTA,GEORGIA,International Charter School of Atlanta,Fulton County,30076,1-Regular school,1-Yes,34.058797,-84.314708,Elementary,Kindergarten,8th Grade,840,†,†,†,†,703,†,†,137,366,474,2,75,226,183,282,0,72,840,15.22
INTERNATIONAL COMMUNITY SCHOOL,Georgia,International Community School,DeKalb County,30033,1-Regular school,1-Yes,33.802700,-84.290100,Elementary,Kindergarten,5th Grade,473,295,162,39,334,387,†,†,86,235,238,0,159,25,180,84,1,24,473,15.26
INTERNATIONAL STUDIES ELEMENTARY CHARTER SCHOOL,Georgia,International Studies Elementary Charter School,Dougherty County,31705,1-Regular school,2-No,31.554800,-84.097800,Elementary,Prekindergarten,5th Grade,437,419,141,0,419,354,†,0,83,230,207,3,3,89,321,18,0,3,437,12.85
INTERNATIONAL TRANSITION CENTER,GEORGIA,International Transition Center,Gwinnett County,30046,1-Regular school,2-No,33.963667,-84.004324,High,6th Grade,12th Grade,632,523,79,53,576,97,535,†,†,371,261,0,6,615,8,3,0,0,632,12.27
IRMA C. AUSTIN MIDDLE SCHOOL,Georgia,Irma C. Austin Middle School,Paulding County,30134,1-Regular school,2-No,33.804314,-84.830395,Middle,6th Grade,8th Grade,811,434,154,82,516,811,†,†,†,430,381,1,4,115,281,353,2,55,811,14.99
IRWIN COUNTY ELEMENTARY SCHOOL,Georgia,Irwin County Elementary School,Irwin County,31774,1-Regular school,2-No,31.582800,-83.238000,Elementary,Prekindergarten,5th Grade,770,588,282,0,588,570,†,95,105,415,355,0,5,27,271,432,0,35,770,15.13
IRWIN COUNTY HIGH SCHOOL,Georgia,Irwin County High School,Irwin County,31774,1-Regular school,2-No,31.577600,-83.239400,High,9th Grade,12th Grade,502,306,155,0,306,†,502,†,†,275,227,0,2,34,184,270,0,12,502,13.25
IRWIN COUNTY MIDDLE SCHOOL,Georgia,Irwin County Middle School,Irwin County,31774,1-Regular school,2-No,31.577640,-83.239448,Middle,6th Grade,8th Grade,360,268,128,0,268,360,†,†,†,193,167,0,1,25,113,208,0,13,360,10.53
ISLANDS HIGH SCHOOL,Georgia,Islands High School,Chatham County,31410,1-Regular school,2-No,32.037300,-81.007300,High,9th Grade,12th Grade,814,295,96,41,336,†,814,†,†,444,370,1,36,63,144,517,2,51,814,15.10
ISLE OF HOPE SCHOOL,Georgia,Isle of Hope School,Chatham County,31406,1-Regular school,2-No,31.980037,-81.064095,Elementary,Prekindergarten,8th Grade,613,492,231,44,536,515,†,50,48,315,298,0,12,37,427,90,0,47,613,11.79
ISON SPRINGS ELEMENTARY SCHOOL,Georgia,Ison Springs Elementary School,Fulton County,30350,1-Regular school,2-No,33.977704,-84.353363,Elementary,Prekindergarten,5th Grade,469,358,121,40,398,358,†,38,73,249,220,2,14,162,227,36,1,27,469,12.21
ITHICA ELEMENTARY,Georgia,Ithica Elementary,Carroll County,30180,1-Regular school,2-No,33.678300,-84.942900,Elementary,Prekindergarten,5th Grade,781,430,159,79,509,634,†,31,116,420,361,5,8,106,209,390,0,63,781,14.46
IVY CREEK ELEMENTARY SCHOOL,Georgia,Ivy Creek Elementary School,Gwinnett County,30519,1-Regular school,2-No,34.097100,-83.936400,Elementary,Prekindergarten,5th Grade,1559,547,158,105,652,1314,†,32,213,788,771,4,362,317,310,479,1,86,1559,14.92
IVY PREPARATORY ACADEMY- INC,Georgia,Ivy Preparatory Academy- Inc,DeKalb County,30317,1-Regular school,1-Yes,33.745907,-84.327940,Elementary,Kindergarten,8th Grade,459,364,152,0,364,404,†,†,55,0,459,0,0,26,420,0,0,13,459,11.77
J. A. DOBBINS MIDDLE SCHOOL,Georgia,J. A. Dobbins Middle School,Paulding County,30127,1-Regular school,2-No,33.832500,-84.752600,Middle,6th Grade,8th Grade,556,363,149,54,417,556,†,†,†,276,280,1,3,133,228,154,2,35,556,13.87
J. D. DICKERSON PRIMARY SCHOOL,Georgia,J. D. Dickerson Primary School,Toombs County,30474,1-Regular school,2-No,32.221200,-82.398500,Elementary,Prekindergarten,1st Grade,464,445,219,0,445,150,†,145,169,205,259,0,6,60,238,134,0,26,464,14.45
J. KNOX ELEMENTARY,Georgia,J. Knox Elementary,Cherokee County,30114,1-Regular school,2-No,34.216290,-84.532680,Elementary,Prekindergarten,5th Grade,892,376,238,57,433,726,†,30,136,452,440,0,7,297,30,504,0,54,892,13.18
J. L. LOMAX ELEMENTARY SCHOOL,Georgia,J. L. Lomax Elementary School,Lowndes County,31601,1-Regular school,2-No,30.822864,-83.234361,Elementary,Prekindergarten,5th Grade,537,537,176,0,537,403,†,41,93,262,275,0,0,68,454,4,1,10,537,12.09
J. R. TRIPPE MIDDLE SCHOOL,Georgia,J. R. Trippe Middle School,Toombs County,30474,1-Regular school,2-No,32.243400,-82.410600,Middle,6th Grade,8th Grade,512,369,192,0,369,512,†,†,†,257,255,1,1,42,270,179,0,19,512,14.18
J. T. REDDICK ELEMENTARY SCHOOL,Georgia,J. T. Reddick Elementary School,Tift County,31794,1-Regular school,2-No,31.437600,-83.510500,Elementary,Prekindergarten,5th Grade,344,344,122,0,344,247,†,40,57,181,163,1,17,34,175,95,1,21,344,14.04
J.C. BOOTH MIDDLE SCHOOL,Georgia,J.C. Booth Middle School,Fayette County,30269,1-Regular school,2-No,33.415460,-84.551644,Middle,6th Grade,8th Grade,1133,228,72,50,278,1133,†,†,†,569,564,4,166,173,118,603,1,68,1133,15.52
