School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
MCLENDON ELEMENTARY SCHOOL,Georgia,McLendon Elementary School,DeKalb County,30033,1-Regular school,2-No,33.804100,-84.261800,Elementary,Prekindergarten,5th Grade,317,307,107,0,307,242,†,34,41,158,159,3,30,50,196,17,0,21,317,11.20
MCNAIR HIGH SCHOOL,Georgia,McNair High School,DeKalb County,30316,1-Regular school,2-No,33.705000,-84.326000,High,9th Grade,12th Grade,776,776,375,0,776,†,776,†,†,387,389,4,1,46,712,5,1,7,776,16.34
MCNAIR MIDDLE SCHOOL,Georgia,McNair Middle School,DeKalb County,30032,1-Regular school,2-No,33.719133,-84.297705,Middle,6th Grade,8th Grade,788,788,427,0,788,788,†,†,†,401,387,1,1,45,714,4,1,22,788,15.73
METRO REGIONAL YOUTH DETENTION CENTER,Georgia,Metro Regional Youth Detention Center,DeKalb County,30316,4-Alternative Education School,2-No,33.690000,-84.336100,High,5th Grade,12th Grade,29,26,26,0,26,4,25,†,†,23,6,0,0,0,28,1,0,0,29,5.80
MICHAEL R. HOLLIS INNOVATION ACADEMY,GEORGIA,Michael R. Hollis Innovation Academy,Fulton County,30314,1-Regular school,2-No,33.760760,-84.412050,Elementary,Prekindergarten,8th Grade,633,633,302,0,633,540,†,33,60,322,311,6,1,24,584,2,4,12,633,10.02
MIDTOWN HIGH SCHOOL,Georgia,Midtown High School,Fulton County,30309,1-Regular school,2-No,33.780600,-84.371400,High,9th Grade,12th Grade,1658,399,235,43,442,†,1658,†,†,843,815,12,38,141,589,772,1,105,1658,15.60
MILES ELEMENTARY SCHOOL,Georgia,Miles Elementary School,Fulton County,30331,1-Regular school,2-No,33.755700,-84.525900,Elementary,Prekindergarten,5th Grade,468,468,235,0,468,378,†,30,60,236,232,0,1,35,422,5,0,5,468,10.56
MONTCLAIR ELEMENTARY SCHOOL,Georgia,Montclair Elementary School,DeKalb County,30329,1-Regular school,2-No,33.847700,-84.320000,Elementary,Prekindergarten,5th Grade,633,513,196,0,513,488,†,43,102,358,275,3,5,549,66,5,0,5,633,15.18
MONTGOMERY ELEMENTARY SCHOOL,Georgia,Montgomery Elementary School,DeKalb County,30319,1-Regular school,2-No,33.909700,-84.332300,Elementary,Prekindergarten,5th Grade,697,100,26,13,113,528,†,43,126,365,332,1,70,77,100,371,0,78,697,16.32
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,Morningside Elementary School,Fulton County,30305,1-Regular school,2-No,33.797151,-84.352810,Elementary,Kindergarten,5th Grade,750,67,32,7,74,618,†,†,132,400,350,0,51,62,68,485,0,84,750,14.88
MORRIS BRANDON ELEMENTARY SCHOOL,Georgia,Morris Brandon Elementary School,Fulton County,30327,1-Regular school,2-No,33.830000,-84.415600,Elementary,Prekindergarten,5th Grade,895,150,62,19,169,709,†,23,163,451,444,1,28,84,214,523,0,45,895,14.14
MUSEUM SCHOOL AVONDALE ESTATES,Georgia,Museum School Avondale Estates,DeKalb County,30002,1-Regular school,1-Yes,33.768903,-84.271127,Elementary,Kindergarten,8th Grade,587,183,79,34,217,528,†,†,59,305,282,0,24,45,194,284,1,39,587,12.49
NARVIE HARRIS ELEMENTARY SCHOOL,Georgia,Narvie Harris Elementary School,DeKalb County,30034,1-Regular school,2-No,33.666800,-84.226600,Elementary,Prekindergarten,5th Grade,565,384,147,0,384,425,†,56,84,280,285,3,0,14,539,1,0,8,565,16.47
NORTH ATLANTA HIGH SCHOOL,Georgia,North Atlanta High School,Fulton County,30327,1-Regular school,2-No,33.866800,-84.445600,High,9th Grade,12th Grade,2332,665,269,89,754,†,2332,†,†,1143,1189,11,54,563,864,719,2,119,2332,15.43
OAK GROVE ELEMENTARY SCHOOL,Georgia,Oak Grove Elementary School,DeKalb County,30345,1-Regular school,2-No,33.836600,-84.288900,Elementary,Prekindergarten,5th Grade,388,31,11,8,39,278,†,45,65,224,164,0,41,29,48,236,0,34,388,11.87
OAK VIEW ELEMENTARY,Georgia,Oak View Elementary,DeKalb County,30034,1-Regular school,2-No,33.679900,-84.268900,Elementary,Prekindergarten,5th Grade,701,701,353,0,701,546,†,53,102,370,331,6,0,48,613,5,1,28,701,16.81
OAKHURST ELEMENTARY SCHOOL,Georgia,Oakhurst Elementary School,DeKalb County,30030,1-Regular school,2-No,33.763700,-84.306000,Elementary,Prekindergarten,2nd Grade,256,29,22,1,30,149,†,30,77,144,112,2,17,16,36,149,0,36,256,10.45
PARKLANE ELEMENTARY SCHOOL,Georgia,Parklane Elementary School,Fulton County,30344,1-Regular school,2-No,33.678400,-84.424900,Elementary,Prekindergarten,5th Grade,313,313,155,0,313,225,†,31,57,162,151,2,2,88,193,11,0,17,313,11.22
PARKSIDE ELEMENTARY SCHOOL,Georgia,Parkside Elementary School,Fulton County,30312,1-Regular school,2-No,33.735100,-84.364700,Elementary,Prekindergarten,5th Grade,603,276,159,15,291,460,†,52,91,322,281,1,9,36,294,212,0,51,603,13.52
PAUL D. WEST MIDDLE SCHOOL,Georgia,Paul D. West Middle School,Fulton County,30344,1-Regular school,2-No,33.688600,-84.465600,Middle,6th Grade,8th Grade,804,804,356,0,804,804,†,†,†,418,386,3,1,296,475,12,3,14,804,12.27
PAUL L. DUNBAR ELEMENTARY SCHOOL,Georgia,Paul L. Dunbar Elementary School,Fulton County,30312,1-Regular school,2-No,33.741544,-84.401347,Elementary,Prekindergarten,5th Grade,250,250,142,0,250,202,†,22,26,127,123,2,0,4,239,0,0,5,250,8.90
PEACE ACADEMY CHARTER SCHOOL,GEORGIA,PEACE Academy Charter School,DeKalb County,30316,1-Regular school,1-Yes,33.734336,-84.283576,Elementary,Kindergarten,3rd Grade,133,90,60,6,96,82,†,†,51,57,76,0,0,5,127,0,0,1,133,13.57
PEACHCREST ELEMENTARY SCHOOL,GEORGIA,Peachcrest Elementary School,DeKalb County,30032,1-Regular school,2-No,33.747570,-84.245561,Elementary,Prekindergarten,5th Grade,660,660,324,0,660,504,†,71,85,350,310,7,16,62,524,16,1,34,660,13.41
PEYTON FOREST ELEMENTARY SCHOOL,Georgia,Peyton Forest Elementary School,Fulton County,30311,1-Regular school,2-No,33.748700,-84.478800,Elementary,Prekindergarten,5th Grade,309,309,120,0,309,243,†,23,43,152,157,1,2,31,272,1,0,2,309,9.06
R. N. FICKETT ELEMENTARY SCHOOL,Georgia,R. N. Fickett Elementary School,Fulton County,30331,1-Regular school,2-No,33.697500,-84.517100,Elementary,Prekindergarten,5th Grade,477,457,225,0,457,388,†,30,59,249,228,5,0,13,446,1,1,11,477,12.52
RAINBOW ELEMENTARY SCHOOL,Georgia,Rainbow Elementary School,DeKalb County,30034,1-Regular school,2-No,33.704900,-84.225100,Elementary,Prekindergarten,5th Grade,319,319,163,0,319,260,†,21,38,164,155,0,3,21,285,0,0,10,319,12.46
RALPH BUNCHE MIDDLE SCHOOL,Georgia,Ralph Bunche Middle School,Fulton County,30331,1-Regular school,2-No,33.701300,-84.530700,Middle,6th Grade,8th Grade,712,640,302,0,640,712,†,†,†,374,338,3,0,27,669,2,1,10,712,11.99
RANDOLPH ELEMENTARY SCHOOL,Georgia,Randolph Elementary School,Fulton County,30331,1-Regular school,2-No,33.704800,-84.560900,Elementary,Prekindergarten,5th Grade,509,509,188,0,509,408,†,44,57,234,275,1,1,12,469,0,0,26,509,14.22
RESURGENCE HALL CHARTER SCHOOL,GEORGIA,Resurgence Hall Charter School,Fulton County,30344,1-Regular school,1-Yes,33.674837,-84.444170,Elementary,Kindergarten,4th Grade,407,249,124,60,309,323,†,†,84,192,215,0,0,10,390,5,0,2,407,16.28
RESURGENCE HALL MIDDLE ACADEMY,GEORGIA,Resurgence Hall Middle Academy,Fulton County,30344,1-Regular school,1-Yes,33.675301,-84.444493,Middle,5th Grade,8th Grade,133,75,42,16,91,133,†,†,†,70,63,0,0,3,128,1,0,1,133,14.78
RIDGEVIEW CHARTER SCHOOL,Georgia,Ridgeview Charter School,Fulton County,30342,1-Regular school,2-No,33.898218,-84.359291,Middle,6th Grade,8th Grade,963,470,205,42,512,963,†,†,†,473,490,1,26,444,181,272,1,38,963,12.08
RISE PREPARATORY CHARTER SCHOOL,GEORGIA,RISE Preparatory Charter School,Fulton County,30344,1-Regular school,1-Yes,33.676625,-84.473753,Elementary,Kindergarten,8th Grade,457,402,212,52,454,420,†,†,37,230,227,4,1,51,387,4,0,10,457,9.76
ROBERT SHAW THEME SCHOOL,Georgia,Robert Shaw Theme School,DeKalb County,30079,1-Regular school,2-No,33.786200,-84.254700,Elementary,Prekindergarten,5th Grade,314,270,100,0,270,252,†,21,41,155,159,1,6,10,291,5,0,1,314,11.38
RONALD E MCNAIR DISCOVER LEARNING ACADEMY ELEMENTARY SCHOOL,Georgia,Ronald E McNair Discover Learning Academy Elementary School,DeKalb County,30032,1-Regular school,2-No,33.727280,-84.306811,Elementary,Prekindergarten,5th Grade,531,345,289,0,345,396,†,62,73,268,263,1,1,16,493,8,0,12,531,13.62
SAGAMORE HILLS ELEMENTARY SCHOOL,Georgia,Sagamore Hills Elementary School,DeKalb County,30345,1-Regular school,2-No,33.833200,-84.303800,Elementary,Prekindergarten,5th Grade,428,124,38,18,142,342,†,34,52,211,217,1,23,94,78,198,0,34,428,11.82
SANDTOWN MIDDLE SCHOOL,Georgia,Sandtown Middle School,Fulton County,30331,1-Regular school,2-No,33.699800,-84.561100,Middle,6th Grade,8th Grade,1004,551,244,87,638,1004,†,†,†,547,457,5,4,32,931,2,0,30,1004,15.61
SARA RAWSON SMITH ELEMENTARY SCHOOL,Georgia,Sara Rawson Smith Elementary School,Fulton County,30342,1-Regular school,2-No,33.858200,-84.375500,Elementary,Prekindergarten,5th Grade,875,292,124,21,313,689,†,49,137,421,454,1,64,188,288,266,0,68,875,12.76
SLAM ACADEMY OF ATLANTA,GEORGIA,SLAM Academy of Atlanta,Fulton County,30331,1-Regular school,1-Yes,33.689241,-84.496613,Elementary,Kindergarten,8th Grade,192,122,141,0,122,157,†,†,35,113,79,0,0,6,183,0,0,3,192,15.87
SNAPFINGER ELEMENTARY SCHOOL,Georgia,Snapfinger Elementary School,DeKalb County,30032,1-Regular school,2-No,33.732000,-84.247100,Elementary,Prekindergarten,5th Grade,429,429,240,0,429,329,†,39,61,201,228,0,4,29,387,1,1,7,429,14.49
SOUTH ATLANTA HIGH SCHOOL,GEORGIA,South Atlanta High School,Fulton County,30354,1-Regular school,2-No,33.671005,-84.361760,High,9th Grade,12th Grade,907,823,379,0,823,†,907,†,†,453,454,0,0,81,815,0,0,11,907,14.70
SOUTHWEST DEKALB HIGH SCHOOL,Georgia,Southwest DeKalb High School,DeKalb County,30034,1-Regular school,2-No,33.702000,-84.224500,High,9th Grade,12th Grade,1207,917,401,0,917,†,1207,†,†,588,619,1,4,46,1134,2,1,19,1207,15.01
SPRINGDALE PARK ELEMENTARY SCHOOL,Georgia,Springdale Park Elementary School,DeKalb County,30306,1-Regular school,2-No,33.775384,-84.346747,Elementary,Kindergarten,5th Grade,427,85,51,6,91,346,†,†,81,210,217,1,19,54,75,234,2,42,427,11.83
SYLVAN HILLS MIDDLE SCHOOL,Georgia,Sylvan Hills Middle School,Fulton County,30310,1-Regular school,2-No,33.715300,-84.419100,Middle,6th Grade,8th Grade,430,430,224,0,430,430,†,†,†,235,195,0,0,12,416,1,0,1,430,12.15
T. J. PERKERSON ELEMENTARY SCHOOL,Georgia,T. J. Perkerson Elementary School,Fulton County,30310,1-Regular school,2-No,33.698100,-84.413400,Elementary,Prekindergarten,5th Grade,352,352,173,0,352,274,†,27,51,189,163,1,0,18,320,6,0,7,352,10.45
TALLEY STREET UPPER ELEMENTARY SCHOOL,GEORGIA,Talley Street Upper Elementary School,DeKalb County,30030,1-Regular school,2-No,33.770317,-84.284348,Elementary,3rd Grade,5th Grade,638,104,86,7,111,638,†,†,†,339,299,0,43,32,144,353,0,66,638,11.75
THE JOHN HOPE-CHARLES WALTER HILL ELEMENTARY SCHOOLS,Georgia,The John Hope-Charles Walter Hill Elementary Schools,Fulton County,30312,1-Regular school,2-No,33.757200,-84.372400,Elementary,Prekindergarten,5th Grade,409,409,147,0,409,295,†,46,68,202,207,1,1,17,324,53,0,13,409,11.21
THE KINDEZI SCHOOL,Georgia,The Kindezi School,Fulton County,30331,1-Regular school,1-Yes,33.754816,-84.513549,Elementary,Kindergarten,8th Grade,380,262,142,0,262,352,†,†,28,184,196,0,0,3,371,3,0,3,380,7.87
THOMAS HEATHE SLATER ELEMENTARY SCHOOL,Georgia,Thomas Heathe Slater Elementary School,Fulton County,30315,1-Regular school,2-No,33.718400,-84.391900,Elementary,Prekindergarten,5th Grade,534,534,278,0,534,400,†,46,88,292,242,0,0,11,515,1,0,7,534,13.32
TONEY ELEMENTARY SCHOOL,Georgia,Toney Elementary School,DeKalb County,30032,1-Regular school,2-No,33.727200,-84.278700,Elementary,Prekindergarten,5th Grade,226,226,137,0,226,178,†,21,27,110,116,1,0,17,192,6,0,10,226,9.74
TOWERS HIGH SCHOOL,Georgia,Towers High School,DeKalb County,30032,1-Regular school,2-No,33.747100,-84.236600,High,9th Grade,12th Grade,769,769,319,0,769,†,769,†,†,402,367,6,23,76,636,13,1,14,769,15.38
TRI-CITIES HIGH SCHOOL,Georgia,Tri-Cities High School,Fulton County,30344,1-Regular school,2-No,33.684400,-84.437000,High,9th Grade,12th Grade,1774,1774,661,0,1774,†,1774,†,†,832,942,3,5,515,1210,12,1,28,1774,15.24
TUSKEGEE AIRMAN GLOBAL ACADEMY,GEORGIA,Tuskegee Airman Global Academy,Fulton County,30311,1-Regular school,2-No,33.732050,-84.440631,Elementary,Prekindergarten,5th Grade,466,466,240,0,466,381,†,20,65,241,225,2,1,12,441,0,0,10,466,11.31
UHS OF LAUREL HEIGHTS,Georgia,UHS of Laurel Heights,DeKalb County,30306,1-Regular school,2-No,33.780131,-84.345313,Other,Prekindergarten,12th Grade,52,21,4,0,21,26,26,0,0,33,19,0,0,1,29,18,0,4,52,6.12
VIRGINIA-HIGHLAND ELEMENTARY SCHOOL,GEORGIA,Virginia-Highland Elementary School,Fulton County,30306,1-Regular school,2-No,33.782459,-84.362446,Elementary,Prekindergarten,5th Grade,561,81,40,7,88,437,†,28,96,270,291,0,35,63,97,305,0,61,561,12.75
WADSWORTH MAGNET SCHOOL FOR HIGH ACHIEVERS,Georgia,Wadsworth Magnet School for High Achievers,DeKalb County,30032,1-Regular school,2-No,33.743729,-84.266050,Middle,4th Grade,8th Grade,265,118,36,30,148,265,†,†,†,130,135,1,11,16,214,15,3,5,265,19.34
WESLEY INTERNATIONAL ACADEMY CHARTER,Georgia,Wesley International Academy Charter,Fulton County,30312,1-Regular school,1-Yes,33.746662,-84.380944,Elementary,Kindergarten,8th Grade,766,499,276,50,549,682,†,†,84,386,380,3,5,26,649,41,0,42,766,12.72
WEST MANOR ELEMENTARY SCHOOL,Georgia,West Manor Elementary School,Fulton County,30311,1-Regular school,2-No,33.739737,-84.489475,Elementary,Kindergarten,5th Grade,238,222,98,0,222,209,†,†,29,116,122,0,0,30,202,3,0,3,238,9.83
WESTCHESTER ELEMENTARY SCHOOL,GEORGIA,Westchester Elementary School,DeKalb County,30030,1-Regular school,2-No,33.783140,-84.306721,Elementary,Prekindergarten,2nd Grade,184,10,7,1,11,108,†,36,40,118,66,0,12,16,14,127,0,15,184,11.22
WESTLAKE HIGH SCHOOL,Georgia,Westlake High School,Fulton County,30331,1-Regular school,2-No,33.689300,-84.575800,High,9th Grade,12th Grade,2156,1003,418,148,1151,†,2156,†,†,1006,1150,3,10,79,2012,2,0,50,2156,19.16
WESTSIDE ATLANTA CHARTER SCHOOL,Georgia,Westside Atlanta Charter School,Fulton County,30318,1-Regular school,1-Yes,33.804767,-84.461822,Elementary,Kindergarten,8th Grade,347,170,89,26,196,304,†,†,43,162,185,2,1,25,247,51,0,21,347,11.34
WILLIAM J. SCOTT ELEMENTARY SCHOOL,Georgia,William J. Scott Elementary School,Fulton County,30318,1-Regular school,2-No,33.803300,-84.471000,Elementary,Prekindergarten,5th Grade,312,312,153,0,312,252,†,18,42,145,167,0,0,43,268,0,0,1,312,9.15
WILLIAM M.BOYD ELEMENTARY SCHOOL,Georgia,William M.Boyd Elementary School,Fulton County,30318,1-Regular school,2-No,33.785800,-84.449300,Elementary,Prekindergarten,5th Grade,440,440,225,0,440,343,†,40,57,228,212,0,1,18,412,0,2,7,440,10.89
WILLIS A. SUTTON MIDDLE SCHOOL,Georgia,Willis A. Sutton Middle School,Fulton County,30305,1-Regular school,2-No,33.832200,-84.406700,Middle,6th Grade,8th Grade,1555,583,252,82,665,1555,†,†,†,792,763,9,31,398,587,436,1,93,1555,15.13
WINNONA PARK ELEMENTARY SCHOOL,Georgia,Winnona Park Elementary School,DeKalb County,30030,1-Regular school,2-No,33.765100,-84.289800,Elementary,Prekindergarten,2nd Grade,292,17,12,2,19,172,†,44,76,147,145,0,16,15,39,194,1,27,292,11.45
WOODLAND MIDDLE SCHOOL,Georgia,Woodland Middle School,Fulton County,30344,1-Regular school,2-No,33.667700,-84.481100,Middle,6th Grade,8th Grade,963,963,453,0,963,963,†,†,†,450,513,1,4,63,864,3,2,26,963,14.86
WOODSON PARK ACADEMY SCHOOL,GEORGIA,Woodson Park Academy School,Fulton County,30318,1-Regular school,2-No,33.773042,-84.439369,Elementary,Prekindergarten,8th Grade,878,878,445,0,878,790,†,1,87,445,433,4,0,42,809,7,0,16,878,13.34
WOODWARD ELEMENTARY SCHOOL,Georgia,Woodward Elementary School,DeKalb County,30319,1-Regular school,2-No,33.841300,-84.337200,Elementary,Prekindergarten,5th Grade,546,491,162,0,491,435,†,42,69,272,274,0,2,513,21,7,0,3,546,12.27
