School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
GENESIS INNOVATION ACADEMY FOR GIRLS,GEORGIA,Genesis Innovation Academy for Girls,Fulton County,30316,1-Regular school,1-Yes,33.715914,-84.354709,Other,Kindergarten,11th Grade,304,193,83,28,221,274,0,†,30,0,304,1,1,31,264,3,0,4,304,11.14
GLENNWOOD ELEMENTARY SCHOOL,Georgia,Glennwood Elementary School,DeKalb County,30030,1-Regular school,2-No,33.776100,-84.289800,Elementary,Prekindergarten,2nd Grade,199,40,28,1,41,129,†,19,51,114,85,1,19,16,41,94,0,28,199,10.15
GLOBE ACADEMY CHARTER SCHOOL I,Georgia,GLOBE Academy Charter School I,DeKalb County,30345,1-Regular school,1-Yes,33.849000,-84.290900,Elementary,Kindergarten,8th Grade,1036,266,92,60,326,894,†,†,142,480,556,5,54,191,295,395,0,96,1036,13.40
HAMILTON E. HOLMES ELEMENTARY,Georgia,Hamilton E. Holmes Elementary,Fulton County,30344,1-Regular school,2-No,33.695600,-84.465200,Elementary,Prekindergarten,5th Grade,589,589,304,0,589,451,†,48,90,279,310,1,2,109,453,5,0,19,589,14.06
HANK AARON NEW BEGINNINGS ACADEMY,Georgia,Hank Aaron New Beginnings Academy,Fulton County,30315,4-Alternative Education School,2-No,33.675164,-84.398488,High,6th Grade,12th Grade,206,206,105,0,206,60,146,†,†,124,82,0,1,13,190,2,0,0,206,6.22
HAPEVILLE ELEMENTARY SCHOOL,Georgia,Hapeville Elementary School,Fulton County,30354,1-Regular school,2-No,33.660400,-84.406700,Elementary,Prekindergarten,5th Grade,543,543,183,0,543,413,†,59,71,282,261,2,4,324,152,38,2,21,543,12.72
HARPER-ARCHER ELEMENTARY SCHOOL,GEORGIA,Harper-Archer Elementary School,Fulton County,30331,1-Regular school,2-No,33.769621,-84.498792,Elementary,Prekindergarten,5th Grade,529,529,284,0,529,410,†,52,67,272,257,3,2,50,469,1,0,4,529,10.27
HAWTHORNE ELEMENTARY SCHOOL,Georgia,Hawthorne Elementary School,DeKalb County,30345,1-Regular school,2-No,33.860100,-84.273100,Elementary,Prekindergarten,5th Grade,345,220,87,16,236,276,†,21,48,181,164,2,9,145,92,76,0,21,345,10.15
HEARDS FERRY ELEMENTARY SCHOOL,Georgia,Heards Ferry Elementary School,Fulton County,30339,1-Regular school,2-No,33.909873,-84.426403,Elementary,Prekindergarten,5th Grade,686,60,14,6,66,519,†,47,120,348,338,0,28,54,60,489,2,53,686,13.91
HENDERSON MILL ELEMENTARY SCHOOL,Georgia,Henderson Mill Elementary School,DeKalb County,30345,1-Regular school,2-No,33.856300,-84.258700,Elementary,Prekindergarten,5th Grade,526,351,132,29,380,414,†,29,83,273,253,8,17,242,136,96,0,27,526,14.90
