School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,source_file
CLAIREMONT ELEMENTARY SCHOOL,Georgia,Clairemont Elementary School,DeKalb County,30030,1-Regular school,2-No,33.7826,-84.2963,Elementary,Prekindergarten,2nd Grade,191.0,71,56,1,72,123,†,24,44,84.0,107.0,0.0,16.0,14.0,76.0,69.0,0.0,16.0,191.0,9.14,ELSI_NCES_GA_school_data.csv
CLEVELAND AVENUE ELEMENTARY SCHOOL,Georgia,Cleveland Avenue Elementary School,Fulton County,30315,1-Regular school,2-No,33.6828,-84.3922,Elementary,Prekindergarten,5th Grade,251.0,238,105,0,238,197,†,16,38,139.0,112.0,0.0,0.0,21.0,224.0,3.0,0.0,3.0,251.0,8.07,ELSI_NCES_GA_school_data.csv
COBB HORIZON HIGH SCHOOL,GEORGIA,Cobb Horizon High School,Cobb County,30339,1-Regular school,2-No,33.910176,-84.48201,High,6th Grade,12th Grade,1027.0,214,83,27,241,209,818,†,†,445.0,582.0,0.0,33.0,292.0,417.0,248.0,0.0,37.0,1027.0,12.95,ELSI_NCES_GA_school_data.csv
COLLEGE PARK ELEMENTARY,GEORGIA,College Park Elementary,Fulton County,30337,1-Regular school,2-No,33.65551,-84.456593,Elementary,Prekindergarten,5th Grade,507.0,507,280,0,507,384,†,41,82,246.0,261.0,2.0,4.0,37.0,443.0,0.0,0.0,21.0,507.0,11.55,ELSI_NCES_GA_school_data.csv
COLUMBIA ELEMENTARY SCHOOL,Georgia,Columbia Elementary School,DeKalb County,30032,1-Regular school,2-No,33.72,-84.2576,Elementary,Prekindergarten,5th Grade,388.0,388,210,0,388,296,†,36,56,200.0,188.0,3.0,1.0,23.0,347.0,5.0,0.0,9.0,388.0,11.51,ELSI_NCES_GA_school_data.csv
COLUMBIA HIGH SCHOOL,Georgia,Columbia High School,DeKalb County,30032,1-Regular school,2-No,33.7281,-84.2509,High,9th Grade,12th Grade,909.0,909,416,0,909,†,909,†,†,445.0,464.0,1.0,5.0,45.0,844.0,5.0,0.0,9.0,909.0,13.57,ELSI_NCES_GA_school_data.csv
COLUMBIA MIDDLE SCHOOL,Georgia,Columbia Middle School,Columbia County,30034,1-Regular school,2-No,33.495782,-82.231981,Middle,6th Grade,8th Grade,939.0,351,119,79,430,939,†,†,†,461.0,478.0,1.0,30.0,148.0,300.0,385.0,3.0,72.0,939.0,15.00,ELSI_NCES_GA_school_data.csv
CONLEY HILLS ELEMENTARY SCHOOL,Georgia,Conley Hills Elementary School,Fulton County,30344,1-Regular school,2-No,33.685,-84.4571,Elementary,Prekindergarten,5th Grade,399.0,399,197,0,399,300,†,41,58,217.0,182.0,1.0,0.0,122.0,258.0,6.0,0.0,12.0,399.0,10.99,ELSI_NCES_GA_school_data.csv
CONTINENTAL COLONY ELEMENTARY SCHOOL,Georgia,Continental Colony Elementary School,Fulton County,30331,1-Regular school,2-No,33.6787,-84.4917,Elementary,Prekindergarten,5th Grade,351.0,351,145,0,351,264,†,37,50,162.0,189.0,1.0,0.0,11.0,333.0,1.0,0.0,5.0,351.0,10.45,ELSI_NCES_GA_school_data.csv
CORALWOOD EDUCATION CENTER,Georgia,Coralwood Education Center,DeKalb County,30033,1-Regular school,2-No,33.8279,-84.2878,Elementary,Prekindergarten,Kindergarten,216.0,91,12,11,102,†,†,152,64,135.0,81.0,2.0,24.0,32.0,63.0,76.0,0.0,19.0,216.0,7.91,ELSI_NCES_GA_school_data.csv
CORETTA SCOTT KING YOUNG WOMEN'S LEADERSHIP ACADEMY,Georgia,Coretta Scott King Young Women's Leadership Academy,Fulton County,30318,1-Regular school,2-No,33.7893,-84.4793,High,6th Grade,12th Grade,339.0,322,119,0,322,145,194,†,†,0.0,339.0,0.0,2.0,16.0,315.0,1.0,0.0,5.0,339.0,6.86,ELSI_NCES_GA_school_data.csv
CRAWFORD LONG MIDDLE SCHOOL,Georgia,Crawford Long Middle School,Fulton County,30354,1-Regular school,2-No,33.6665,-84.3944,Middle,6th Grade,8th Grade,649.0,649,302,0,649,649,†,†,†,346.0,303.0,1.0,0.0,67.0,569.0,1.0,1.0,10.0,649.0,10.37,ELSI_NCES_GA_school_data.csv
CROSS KEYS HIGH SCHOOL,Georgia,Cross Keys High School,DeKalb County,30319,1-Regular school,2-No,33.8439,-84.338,High,9th Grade,12th Grade,1768.0,1356,530,77,1433,†,1768,†,†,904.0,864.0,7.0,74.0,1606.0,62.0,11.0,0.0,8.0,1768.0,14.86,ELSI_NCES_GA_school_data.csv
D. M. THERRELL HIGH SCHOOL,GEORGIA,D. M. Therrell High School,Fulton County,30311,1-Regular school,2-No,33.699023,-84.489856,High,9th Grade,12th Grade,1005.0,794,332,0,794,†,1005,†,†,538.0,467.0,4.0,0.0,34.0,957.0,3.0,0.0,7.0,1005.0,15.61,ELSI_NCES_GA_school_data.csv
DAVID T HOWARD MIDDLE SCHOOL,Georgia,David T Howard Middle School,Fulton County,30312,1-Regular school,2-No,33.758849,-84.369043,Middle,6th Grade,8th Grade,1056.0,255,136,27,282,1056,†,†,†,529.0,527.0,3.0,27.0,114.0,332.0,491.0,2.0,87.0,1056.0,13.32,ELSI_NCES_GA_school_data.csv
DECATUR HIGH SCHOOL,Georgia,Decatur High School,DeKalb County,30030,1-Regular school,2-No,33.770879,-84.296993,High,9th Grade,12th Grade,1834.0,324,280,6,330,†,1834,†,†,898.0,936.0,4.0,66.0,115.0,442.0,1076.0,1.0,130.0,1834.0,14.01,ELSI_NCES_GA_school_data.csv
DEERWOOD ACADEMY,Georgia,Deerwood Academy,Fulton County,30331,1-Regular school,2-No,33.6707,-84.5133,Elementary,Prekindergarten,5th Grade,475.0,348,163,0,348,368,†,45,62,240.0,235.0,0.0,1.0,22.0,444.0,2.0,0.0,6.0,475.0,12.06,ELSI_NCES_GA_school_data.csv
DEKALB BRILLIANCE ACADEMY,GEORGIA,DeKalb Brilliance Academy,DeKalb County,30037,1-Regular school,1-Yes,33.704011,-84.215201,Elementary,Kindergarten,8th Grade,255.0,214,82,0,214,177,†,†,78,139.0,116.0,1.0,2.0,7.0,236.0,7.0,0.0,2.0,255.0,12.75,ELSI_NCES_GA_school_data.csv
DEKALB ELEMENTARY SCHOOL OF THE ARTS,Georgia,DeKalb Elementary School of the Arts,DeKalb County,30002,1-Regular school,2-No,33.77892,-84.260847,Elementary,Kindergarten,8th Grade,591.0,329,132,53,382,549,†,†,42,180.0,411.0,0.0,1.0,20.0,499.0,43.0,0.0,28.0,591.0,14.85,ELSI_NCES_GA_school_data.csv
DEKALB PATH ACADEMY CHARTER SCHOOL,Georgia,DeKalb PATH Academy Charter School,DeKalb County,30319,1-Regular school,1-Yes,33.8758,-84.3379,Middle,5th Grade,8th Grade,368.0,335,131,25,360,368,†,†,†,176.0,192.0,0.0,18.0,320.0,28.0,2.0,0.0,0.0,368.0,21.65,ELSI_NCES_GA_school_data.csv
DEKALB PREPARATORY ACADEMY CHARTER,Georgia,DeKalb Preparatory Academy Charter,DeKalb County,30032,1-Regular school,1-Yes,33.7518,-84.2329,Elementary,Kindergarten,8th Grade,562.0,409,221,58,467,502,†,†,60,303.0,259.0,0.0,2.0,21.0,531.0,0.0,0.0,8.0,562.0,16.53,ELSI_NCES_GA_school_data.csv
DEKALB REGIONAL YOUTH DETENTION CENTER,Georgia,DeKalb Regional Youth Detention Center,DeKalb County,30034,4-Alternative Education School,2-No,33.691519,-84.275848,High,5th Grade,12th Grade,7.0,‡,‡,‡,‡,1,6,†,†,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.75,ELSI_NCES_GA_school_data.csv
DEKALB SCHOOL OF THE ARTS,Georgia,DeKalb School of the Arts,DeKalb County,30002,1-Regular school,2-No,33.7595,-84.2673,High,8th Grade,12th Grade,302.0,86,29,17,103,0,302,†,†,62.0,240.0,1.0,6.0,16.0,169.0,91.0,0.0,19.0,302.0,12.80,ELSI_NCES_GA_school_data.csv
DEPARTMENT OF HUMAN RESOURCES,Georgia,Department of Human Resources,Fulton County,30303,4-Alternative Education School,2-No,33.7542,-84.3906,Other,Prekindergarten,12th Grade,0.0,†,†,†,†,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,–,ELSI_NCES_GA_school_data.csv
DESTINATIONS CAREER ACADEMY OF GEORGIA (VIRTUAL),GEORGIA,Destinations Career Academy of Georgia (Virtual),Cobb County,30339,1-Regular school,1-Yes,33.909121,-84.485231,Middle,6th Grade,9th Grade,605.0,293,3,51,344,449,156,†,†,290.0,315.0,8.0,3.0,87.0,252.0,192.0,3.0,60.0,605.0,28.14,ELSI_NCES_GA_school_data.csv
DRUID HILLS HIGH SCHOOL,Georgia,Druid Hills High School,DeKalb County,30307,1-Regular school,2-No,33.7933,-84.3157,High,9th Grade,12th Grade,1430.0,592,213,74,666,†,1430,†,†,733.0,697.0,7.0,130.0,228.0,560.0,444.0,6.0,55.0,1430.0,15.54,ELSI_NCES_GA_school_data.csv
DRUID HILLS MIDDLE SCHOOL,Georgia,Druid Hills Middle School,DeKalb County,30033,1-Regular school,2-No,33.8193,-84.273,Middle,6th Grade,8th Grade,929.0,486,235,58,544,929,†,†,†,500.0,429.0,5.0,81.0,156.0,406.0,221.0,2.0,58.0,929.0,12.90,ELSI_NCES_GA_school_data.csv
E. RIVERS ELEMENTARY SCHOOL,Georgia,E. Rivers Elementary School,Fulton County,30305,1-Regular school,2-No,33.8195,-84.39,Elementary,Prekindergarten,5th Grade,706.0,248,93,35,283,554,†,49,103,367.0,339.0,2.0,31.0,146.0,237.0,249.0,1.0,40.0,706.0,13.74,ELSI_NCES_GA_school_data.csv
EMMA HUTCHINSON ELEMENTARY SCHOOL,Georgia,Emma Hutchinson Elementary School,Fulton County,30315,1-Regular school,2-No,33.6807,-84.4096,Elementary,Prekindergarten,5th Grade,278.0,278,131,0,278,215,†,26,37,133.0,145.0,5.0,0.0,52.0,215.0,4.0,1.0,1.0,278.0,10.53,ELSI_NCES_GA_school_data.csv
ETHOS CLASSICAL CHARTER SCHOOL,GEORGIA,Ethos Classical Charter School,Fulton County,30315,1-Regular school,1-Yes,33.691871,-84.416305,Elementary,Kindergarten,5th Grade,535.0,535,221,0,535,431,†,†,104,271.0,264.0,0.0,0.0,11.0,507.0,6.0,0.0,11.0,535.0,17.83,ELSI_NCES_GA_school_data.csv
F. L. STANTON ELEMENTARY SCHOOL,Georgia,F. L. Stanton Elementary School,Fulton County,30314,1-Regular school,2-No,33.7537,-84.4426,Elementary,Prekindergarten,5th Grade,174.0,174,102,0,174,150,†,1,23,99.0,75.0,0.0,0.0,2.0,171.0,0.0,0.0,1.0,174.0,9.56,ELSI_NCES_GA_school_data.csv
FERNBANK ELEMENTARY SCHOOL,Georgia,Fernbank Elementary School,DeKalb County,30307,1-Regular school,2-No,33.778387,-84.316293,Elementary,Prekindergarten,5th Grade,768.0,175,42,19,194,581,†,66,121,359.0,409.0,6.0,110.0,55.0,161.0,380.0,0.0,56.0,768.0,14.77,ELSI_NCES_GA_school_data.csv
FIFTH AVENUE UPPER ELEMENTARY SCHOOL,Georgia,Fifth Avenue Upper Elementary School,DeKalb County,30030,1-Regular school,2-No,33.755432,-84.305514,Elementary,3rd Grade,5th Grade,593.0,56,52,0,56,593,†,†,†,311.0,282.0,0.0,25.0,22.0,77.0,421.0,0.0,48.0,593.0,11.81,ELSI_NCES_GA_school_data.csv
FINCH ELEMENTARY,Georgia,Finch Elementary,Fulton County,30310,1-Regular school,2-No,33.7219,-84.4244,Elementary,Prekindergarten,5th Grade,319.0,319,167,0,319,253,†,26,40,173.0,146.0,1.0,0.0,7.0,304.0,1.0,0.0,6.0,319.0,8.33,ELSI_NCES_GA_school_data.csv
FLAT SHOALS ELEMENTARY SCHOOL,Georgia,Flat Shoals Elementary School,Rockdale County,30034,1-Regular school,2-No,33.6326,-83.9918,Elementary,Prekindergarten,5th Grade,616.0,445,209,55,500,506,†,28,82,325.0,291.0,1.0,7.0,77.0,468.0,23.0,4.0,36.0,616.0,11.00,ELSI_NCES_GA_school_data.csv
FRED A. TOOMER ELEMENTARY SCHOOL,Georgia,Fred A. Toomer Elementary School,DeKalb County,30317,1-Regular school,2-No,33.7548,-84.3278,Elementary,Prekindergarten,5th Grade,501.0,278,197,17,295,348,†,71,82,242.0,259.0,0.0,1.0,23.0,329.0,131.0,0.0,17.0,501.0,13.12,ELSI_NCES_GA_school_data.csv
FREDERICK DOUGLASS HIGH SCHOOL,Georgia,Frederick Douglass High School,Fulton County,30318,1-Regular school,2-No,33.7612,-84.4681,High,9th Grade,12th Grade,1194.0,1194,503,0,1194,†,1194,†,†,615.0,579.0,6.0,3.0,83.0,1085.0,2.0,0.0,15.0,1194.0,13.33,ELSI_NCES_GA_school_data.csv
FULTON ACADEMY OF VIRTUAL EXCELLENCE,GEORGIA,Fulton Academy of Virtual Excellence,Fulton County,30339,1-Regular school,2-No,33.909873,-84.426403,Other,2nd Grade,12th Grade,464.0,158,74,16,174,221,243,†,†,203.0,261.0,0.0,24.0,62.0,286.0,62.0,0.0,30.0,464.0,9.77,ELSI_NCES_GA_school_data.csv
FULTON LEADERSHIP ACADEMY,Georgia,Fulton Leadership Academy,Fulton County,30344,1-Regular school,1-Yes,33.685351,-84.476181,High,6th Grade,12th Grade,166.0,98,48,15,113,96,70,†,†,166.0,0.0,0.0,1.0,4.0,154.0,1.0,0.0,6.0,166.0,10.00,ELSI_NCES_GA_school_data.csv
GARDEN HILLS ELEMENTARY SCHOOL,Georgia,Garden Hills Elementary School,Fulton County,30305,1-Regular school,2-No,33.8318,-84.3787,Elementary,Prekindergarten,5th Grade,470.0,285,116,25,310,352,†,43,75,226.0,244.0,0.0,10.0,167.0,195.0,85.0,0.0,13.0,470.0,11.44,ELSI_NCES_GA_school_data.csv
GENESIS INNOVATION ACADEMY FOR BOYS,GEORGIA,Genesis Innovation Academy for Boys,Fulton County,30316,1-Regular school,1-Yes,33.715914,-84.354709,Other,Kindergarten,11th Grade,291.0,212,104,26,238,262,0,†,29,291.0,0.0,1.0,0.0,32.0,250.0,2.0,0.0,6.0,291.0,9.60,ELSI_NCES_GA_school_data.csv
GENESIS INNOVATION ACADEMY FOR GIRLS,GEORGIA,Genesis Innovation Academy for Girls,Fulton County,30316,1-Regular school,1-Yes,33.715914,-84.354709,Other,Kindergarten,11th Grade,304.0,193,83,28,221,274,0,†,30,0.0,304.0,1.0,1.0,31.0,264.0,3.0,0.0,4.0,304.0,11.14,ELSI_NCES_GA_school_data.csv
GLENNWOOD ELEMENTARY SCHOOL,Georgia,Glennwood Elementary School,DeKalb County,30030,1-Regular school,2-No,33.7761,-84.2898,Elementary,Prekindergarten,2nd Grade,199.0,40,28,1,41,129,†,19,51,114.0,85.0,1.0,19.0,16.0,41.0,94.0,0.0,28.0,199.0,10.15,ELSI_NCES_GA_school_data.csv
GLOBE ACADEMY CHARTER SCHOOL I,Georgia,GLOBE Academy Charter School I,DeKalb County,30345,1-Regular school,1-Yes,33.849,-84.2909,Elementary,Kindergarten,8th Grade,1036.0,266,92,60,326,894,†,†,142,480.0,556.0,5.0,54.0,191.0,295.0,395.0,0.0,96.0,1036.0,13.40,ELSI_NCES_GA_school_data.csv
HAMILTON E. HOLMES ELEMENTARY,Georgia,Hamilton E. Holmes Elementary,Fulton County,30344,1-Regular school,2-No,33.6956,-84.4652,Elementary,Prekindergarten,5th Grade,589.0,589,304,0,589,451,†,48,90,279.0,310.0,1.0,2.0,109.0,453.0,5.0,0.0,19.0,589.0,14.06,ELSI_NCES_GA_school_data.csv
HANK AARON NEW BEGINNINGS ACADEMY,Georgia,Hank Aaron New Beginnings Academy,Fulton County,30315,4-Alternative Education School,2-No,33.675164,-84.398488,High,6th Grade,12th Grade,206.0,206,105,0,206,60,146,†,†,124.0,82.0,0.0,1.0,13.0,190.0,2.0,0.0,0.0,206.0,6.22,ELSI_NCES_GA_school_data.csv
HAPEVILLE ELEMENTARY SCHOOL,Georgia,Hapeville Elementary School,Fulton County,30354,1-Regular school,2-No,33.6604,-84.4067,Elementary,Prekindergarten,5th Grade,543.0,543,183,0,543,413,†,59,71,282.0,261.0,2.0,4.0,324.0,152.0,38.0,2.0,21.0,543.0,12.72,ELSI_NCES_GA_school_data.csv
HARPER-ARCHER ELEMENTARY SCHOOL,GEORGIA,Harper-Archer Elementary School,Fulton County,30331,1-Regular school,2-No,33.769621,-84.498792,Elementary,Prekindergarten,5th Grade,529.0,529,284,0,529,410,†,52,67,272.0,257.0,3.0,2.0,50.0,469.0,1.0,0.0,4.0,529.0,10.27,ELSI_NCES_GA_school_data.csv
HAWTHORNE ELEMENTARY SCHOOL,Georgia,Hawthorne Elementary School,Clayton County,30345,1-Regular school,2-No,33.4619,-84.3663,Elementary,Prekindergarten,5th Grade,804.0,804,217,0,804,644,†,50,110,375.0,429.0,2.0,9.0,197.0,541.0,15.0,1.0,39.0,804.0,15.17,ELSI_NCES_GA_school_data.csv
HEARDS FERRY ELEMENTARY SCHOOL,Georgia,Heards Ferry Elementary School,Fulton County,30339,1-Regular school,2-No,33.909873,-84.426403,Elementary,Prekindergarten,5th Grade,686.0,60,14,6,66,519,†,47,120,348.0,338.0,0.0,28.0,54.0,60.0,489.0,2.0,53.0,686.0,13.91,ELSI_NCES_GA_school_data.csv
HENDERSON MILL ELEMENTARY SCHOOL,Georgia,Henderson Mill Elementary School,DeKalb County,30345,1-Regular school,2-No,33.8563,-84.2587,Elementary,Prekindergarten,5th Grade,526.0,351,132,29,380,414,†,29,83,273.0,253.0,8.0,17.0,242.0,136.0,96.0,0.0,27.0,526.0,14.90,ELSI_NCES_GA_school_data.csv
HERITAGE ACADEMY ELEMENTARY SCHOOL,Georgia,Heritage Academy Elementary School,Fulton County,30354,1-Regular school,2-No,33.6588,-84.3786,Elementary,Prekindergarten,5th Grade,412.0,412,214,0,412,343,†,21,48,226.0,186.0,1.0,0.0,13.0,390.0,0.0,0.0,8.0,412.0,9.98,ELSI_NCES_GA_school_data.csv
HERMAN J. RUSSELL WEST END ACADEMY,Georgia,Herman J. Russell West End Academy,Fulton County,30310,1-Regular school,2-No,33.7341,-84.4211,Middle,6th Grade,8th Grade,366.0,366,190,0,366,366,†,†,†,208.0,158.0,1.0,2.0,9.0,349.0,0.0,0.0,5.0,366.0,10.08,ELSI_NCES_GA_school_data.csv
HIGH POINT ELEMENTARY SCHOOL,Georgia,High Point Elementary School,Fulton County,30342,1-Regular school,2-No,33.8992,-84.37,Elementary,Prekindergarten,5th Grade,668.0,345,136,38,383,512,†,47,109,343.0,325.0,0.0,38.0,183.0,230.0,175.0,0.0,42.0,668.0,13.47,ELSI_NCES_GA_school_data.csv
HILLSIDE CONANT SCHOOL,Georgia,Hillside Conant School,Fulton County,30306,1-Regular school,2-No,33.7903,-84.3654,Other,1st Grade,12th Grade,66.0,63,3,0,63,24,42,†,†,14.0,52.0,0.0,0.0,1.0,21.0,42.0,0.0,2.0,66.0,6.00,ELSI_NCES_GA_school_data.csv
INTERNATIONAL COMMUNITY SCHOOL,Georgia,International Community School,DeKalb County,30033,1-Regular school,1-Yes,33.8027,-84.2901,Elementary,Kindergarten,5th Grade,473.0,295,162,39,334,387,†,†,86,235.0,238.0,0.0,159.0,25.0,180.0,84.0,1.0,24.0,473.0,15.26,ELSI_NCES_GA_school_data.csv
IVY PREPARATORY ACADEMY- INC,Georgia,Ivy Preparatory Academy- Inc,DeKalb County,30317,1-Regular school,1-Yes,33.745907,-84.32794,Elementary,Kindergarten,8th Grade,459.0,364,152,0,364,404,†,†,55,0.0,459.0,0.0,0.0,26.0,420.0,0.0,0.0,13.0,459.0,11.77,ELSI_NCES_GA_school_data.csv
JACKSON ELEMENTARY SCHOOL,Georgia,Jackson Elementary School,Butts County,30327,1-Regular school,2-No,33.273445,-83.963535,Elementary,Prekindergarten,5th Grade,559.0,559,246,0,559,418,†,44,97,303.0,256.0,1.0,2.0,44.0,206.0,260.0,1.0,45.0,559.0,14.26,ELSI_NCES_GA_school_data.csv
JEAN CHILDS YOUNG MIDDLE SCHOOL,Georgia,Jean Childs Young Middle School,Fulton County,30311,1-Regular school,2-No,33.7327,-84.4895,Middle,6th Grade,8th Grade,656.0,638,298,0,638,656,†,†,†,329.0,327.0,0.0,2.0,56.0,591.0,0.0,3.0,4.0,656.0,10.79,ELSI_NCES_GA_school_data.csv
JOHN LEWIS INVICTUS ACADEMY,GEORGIA,John Lewis Invictus Academy,Fulton County,30318,1-Regular school,2-No,33.774616,-84.447932,Middle,6th Grade,8th Grade,738.0,738,395,0,738,738,†,†,†,413.0,325.0,1.0,0.0,64.0,669.0,0.0,0.0,4.0,738.0,11.37,ELSI_NCES_GA_school_data.csv
JOHN ROBERT LEWIS ELEMENTARY SCHOOL,GEORGIA,John Robert Lewis Elementary School,Bibb County,30319,1-Regular school,2-No,32.833172,-83.689841,Elementary,Prekindergarten,5th Grade,724.0,644,502,0,644,570,†,53,101,370.0,354.0,2.0,1.0,25.0,662.0,10.0,0.0,24.0,724.0,16.27,ELSI_NCES_GA_school_data.csv
JOHN WESLEY DOBBS ELEMENTARY SCHOOL,Georgia,John Wesley Dobbs Elementary School,Fulton County,30315,1-Regular school,2-No,33.6983,-84.3725,Elementary,Prekindergarten,5th Grade,310.0,310,147,0,310,253,†,22,35,162.0,148.0,1.0,1.0,37.0,268.0,1.0,0.0,2.0,310.0,8.16,ELSI_NCES_GA_school_data.csv
JOSEPH HUMPHRIES ELEMENTARY SCHOOL,Georgia,Joseph Humphries Elementary School,Fulton County,30315,1-Regular school,2-No,33.671966,-84.376446,Elementary,Prekindergarten,5th Grade,259.0,259,134,0,259,200,†,20,39,128.0,131.0,1.0,0.0,30.0,227.0,1.0,0.0,0.0,259.0,12.57,ELSI_NCES_GA_school_data.csv
JUDSON PRICE MIDDLE SCHOOL,Georgia,Judson Price Middle School,Fulton County,30315,1-Regular school,2-No,33.7089,-84.3874,Middle,6th Grade,8th Grade,271.0,271,140,0,271,271,†,†,†,141.0,130.0,0.0,0.0,9.0,262.0,0.0,0.0,0.0,271.0,11.29,ELSI_NCES_GA_school_data.csv
KELLEY LAKE ELEMENTARY SCHOOL,Georgia,Kelley Lake Elementary School,DeKalb County,30032,1-Regular school,2-No,33.7159,-84.2839,Elementary,Prekindergarten,5th Grade,233.0,233,123,0,233,175,†,26,32,115.0,118.0,0.0,0.0,37.0,184.0,0.0,0.0,12.0,233.0,9.91,ELSI_NCES_GA_school_data.csv
KINDEZI OLD 4TH WARD,GEORGIA,Kindezi Old 4th Ward,Fulton County,30308,1-Regular school,1-Yes,33.7682,-84.374561,Elementary,Kindergarten,8th Grade,385.0,297,142,0,297,343,†,†,42,214.0,171.0,1.0,0.0,11.0,349.0,11.0,0.0,13.0,385.0,9.37,ELSI_NCES_GA_school_data.csv
KIPP ATLANTA COLLEGIATE CHARTER SCHOOL,Georgia,Kipp Atlanta Collegiate Charter School,Fulton County,30314,1-Regular school,1-Yes,33.7562,-84.4512,High,9th Grade,12th Grade,832.0,571,260,0,571,†,832,†,†,430.0,402.0,0.0,0.0,12.0,811.0,0.0,1.0,8.0,832.0,13.89,ELSI_NCES_GA_school_data.csv
KIPP SOUL ACADEMY,GEORGIA,KIPP Soul Academy,Fulton County,30331,1-Regular school,1-Yes,33.793978,-84.498402,Middle,5th Grade,8th Grade,344.0,326,142,0,326,344,†,†,†,169.0,175.0,0.0,0.0,3.0,338.0,1.0,1.0,1.0,344.0,9.69,ELSI_NCES_GA_school_data.csv
KIPP SOUL PRIMARY,GEORGIA,KIPP Soul Primary,Fulton County,30331,1-Regular school,1-Yes,33.793978,-84.498402,Elementary,Kindergarten,4th Grade,410.0,389,186,0,389,346,†,†,64,208.0,202.0,1.0,0.0,5.0,401.0,0.0,0.0,3.0,410.0,15.19,ELSI_NCES_GA_school_data.csv
KIPP SOUTH FULTON ACADEMY SCHOOL,Georgia,KIPP South Fulton Academy School,Fulton County,30344,1-Regular school,1-Yes,33.6756,-84.4311,Middle,5th Grade,8th Grade,380.0,185,69,36,221,380,†,†,†,177.0,203.0,0.0,0.0,43.0,329.0,3.0,0.0,5.0,380.0,12.67,ELSI_NCES_GA_school_data.csv
KIPP STRIVE CHARTER SCHOOL,Georgia,Kipp Strive Charter School,Fulton County,30310,1-Regular school,1-Yes,33.7421,-84.4348,Middle,5th Grade,8th Grade,406.0,301,147,0,301,406,†,†,†,192.0,214.0,0.0,0.0,5.0,395.0,1.0,0.0,5.0,406.0,14.50,ELSI_NCES_GA_school_data.csv
KIPP STRIVE PRIMARY CHARTER SCHOOL,Georgia,KIPP Strive Primary Charter School,Fulton County,30310,1-Regular school,1-Yes,33.7421,-84.4347,Elementary,Kindergarten,4th Grade,521.0,424,207,0,424,412,†,†,109,269.0,252.0,1.0,0.0,5.0,498.0,12.0,0.0,5.0,521.0,17.25,ELSI_NCES_GA_school_data.csv
KIPP VISION CHARTER SCHOOL,Georgia,KIPP VISION Charter School,Fulton County,30315,1-Regular school,1-Yes,33.689136,-84.36683,Middle,5th Grade,8th Grade,403.0,342,166,0,342,403,†,†,†,197.0,206.0,0.0,0.0,20.0,380.0,0.0,0.0,3.0,403.0,12.14,ELSI_NCES_GA_school_data.csv
KIPP VISION PRIMARY CHARTER SCHOOL,Georgia,KIPP Vision Primary Charter School,Fulton County,30315,1-Regular school,1-Yes,33.689136,-84.36683,Elementary,Kindergarten,4th Grade,479.0,418,217,0,418,393,†,†,86,234.0,245.0,0.0,1.0,17.0,456.0,0.0,0.0,5.0,479.0,14.52,ELSI_NCES_GA_school_data.csv
KIPP WAYS ACADEMY CHARTER SCHOOL,Georgia,KIPP WAYS Academy Charter School,Fulton County,30314,1-Regular school,1-Yes,33.76452,-84.422721,Middle,5th Grade,8th Grade,395.0,370,182,0,370,395,†,†,†,205.0,190.0,1.0,0.0,2.0,388.0,1.0,1.0,2.0,395.0,12.74,ELSI_NCES_GA_school_data.csv
KIPP WAYS PRIMARY CHARTER SCHOOL,GEORGIA,Kipp WAYS Primary Charter School,Fulton County,30314,1-Regular school,1-Yes,33.76452,-84.422721,Elementary,Kindergarten,4th Grade,484.0,481,228,0,481,382,†,†,102,243.0,241.0,1.0,0.0,8.0,470.0,2.0,0.0,3.0,484.0,15.37,ELSI_NCES_GA_school_data.csv
