School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,source_file
UHS OF LAUREL HEIGHTS,Georgia,UHS of Laurel Heights,DeKalb County,30306,1-Regular school,2-No,33.780131,-84.345313,Other,Prekindergarten,12th Grade,52.0,21,4,0,21,26,26,0,0,33.0,19.0,0.0,0.0,1.0,29.0,18.0,0.0,4.0,52.0,6.12,ELSI_NCES_GA_school_data.csv
VIRGINIA-HIGHLAND ELEMENTARY SCHOOL,GEORGIA,Virginia-Highland Elementary School,Fulton County,30306,1-Regular school,2-No,33.782459,-84.362446,Elementary,Prekindergarten,5th Grade,561.0,81,40,7,88,437,†,28,96,270.0,291.0,0.0,35.0,63.0,97.0,305.0,0.0,61.0,561.0,12.75,ELSI_NCES_GA_school_data.csv
WADSWORTH MAGNET SCHOOL FOR HIGH ACHIEVERS,Georgia,Wadsworth Magnet School for High Achievers,DeKalb County,30032,1-Regular school,2-No,33.743729,-84.26605,Middle,4th Grade,8th Grade,265.0,118,36,30,148,265,†,†,†,130.0,135.0,1.0,11.0,16.0,214.0,15.0,3.0,5.0,265.0,19.34,ELSI_NCES_GA_school_data.csv
WESLEY INTERNATIONAL ACADEMY CHARTER,Georgia,Wesley International Academy Charter,Fulton County,30312,1-Regular school,1-Yes,33.746662,-84.380944,Elementary,Kindergarten,8th Grade,766.0,499,276,50,549,682,†,†,84,386.0,380.0,3.0,5.0,26.0,649.0,41.0,0.0,42.0,766.0,12.72,ELSI_NCES_GA_school_data.csv
WEST MANOR ELEMENTARY SCHOOL,Georgia,West Manor Elementary School,Fulton County,30311,1-Regular school,2-No,33.739737,-84.489475,Elementary,Kindergarten,5th Grade,238.0,222,98,0,222,209,†,†,29,116.0,122.0,0.0,0.0,30.0,202.0,3.0,0.0,3.0,238.0,9.83,ELSI_NCES_GA_school_data.csv
WESTCHESTER ELEMENTARY SCHOOL,GEORGIA,Westchester Elementary School,DeKalb County,30030,1-Regular school,2-No,33.78314,-84.306721,Elementary,Prekindergarten,2nd Grade,184.0,10,7,1,11,108,†,36,40,118.0,66.0,0.0,12.0,16.0,14.0,127.0,0.0,15.0,184.0,11.22,ELSI_NCES_GA_school_data.csv
WESTLAKE HIGH SCHOOL,Georgia,Westlake High School,Fulton County,30331,1-Regular school,2-No,33.6893,-84.5758,High,9th Grade,12th Grade,2156.0,1003,418,148,1151,†,2156,†,†,1006.0,1150.0,3.0,10.0,79.0,2012.0,2.0,0.0,50.0,2156.0,19.16,ELSI_NCES_GA_school_data.csv
WESTSIDE ATLANTA CHARTER SCHOOL,Georgia,Westside Atlanta Charter School,Fulton County,30318,1-Regular school,1-Yes,33.804767,-84.461822,Elementary,Kindergarten,8th Grade,347.0,170,89,26,196,304,†,†,43,162.0,185.0,2.0,1.0,25.0,247.0,51.0,0.0,21.0,347.0,11.34,ELSI_NCES_GA_school_data.csv
WILLIAM J. SCOTT ELEMENTARY SCHOOL,Georgia,William J. Scott Elementary School,Fulton County,30318,1-Regular school,2-No,33.8033,-84.471,Elementary,Prekindergarten,5th Grade,312.0,312,153,0,312,252,†,18,42,145.0,167.0,0.0,0.0,43.0,268.0,0.0,0.0,1.0,312.0,9.15,ELSI_NCES_GA_school_data.csv
WILLIAM M.BOYD ELEMENTARY SCHOOL,Georgia,William M.Boyd Elementary School,Fulton County,30318,1-Regular school,2-No,33.7858,-84.4493,Elementary,Prekindergarten,5th Grade,440.0,440,225,0,440,343,†,40,57,228.0,212.0,0.0,1.0,18.0,412.0,0.0,2.0,7.0,440.0,10.89,ELSI_NCES_GA_school_data.csv
WILLIS A. SUTTON MIDDLE SCHOOL,Georgia,Willis A. Sutton Middle School,Fulton County,30305,1-Regular school,2-No,33.8322,-84.4067,Middle,6th Grade,8th Grade,1555.0,583,252,82,665,1555,†,†,†,792.0,763.0,9.0,31.0,398.0,587.0,436.0,1.0,93.0,1555.0,15.13,ELSI_NCES_GA_school_data.csv
WINNONA PARK ELEMENTARY SCHOOL,Georgia,Winnona Park Elementary School,DeKalb County,30030,1-Regular school,2-No,33.7651,-84.2898,Elementary,Prekindergarten,2nd Grade,292.0,17,12,2,19,172,†,44,76,147.0,145.0,0.0,16.0,15.0,39.0,194.0,1.0,27.0,292.0,11.45,ELSI_NCES_GA_school_data.csv
WOODLAND MIDDLE SCHOOL,Georgia,Woodland Middle School,Fulton County,30344,1-Regular school,2-No,33.6677,-84.4811,Middle,6th Grade,8th Grade,963.0,963,453,0,963,963,†,†,†,450.0,513.0,1.0,4.0,63.0,864.0,3.0,2.0,26.0,963.0,14.86,ELSI_NCES_GA_school_data.csv
WOODSON PARK ACADEMY SCHOOL,GEORGIA,Woodson Park Academy School,Fulton County,30318,1-Regular school,2-No,33.773042,-84.439369,Elementary,Prekindergarten,8th Grade,878.0,878,445,0,878,790,†,1,87,445.0,433.0,4.0,0.0,42.0,809.0,7.0,0.0,16.0,878.0,13.34,ELSI_NCES_GA_school_data.csv
WOODWARD ELEMENTARY SCHOOL,Georgia,Woodward Elementary School,DeKalb County,30319,1-Regular school,2-No,33.8413,-84.3372,Elementary,Prekindergarten,5th Grade,546.0,491,162,0,491,435,†,42,69,272.0,274.0,0.0,2.0,513.0,21.0,7.0,0.0,3.0,546.0,12.27,ELSI_NCES_GA_school_data.csv
