sys_sch,systemid,systemname,schoolid,schoolname,amount_19,Federal_Amt_19,State_Local_Amt_19,excluded_19,dist_enroll_19,weight_19,centralcost_19,central_fed_amt_19,central_state_amt_19,Charter_Dist_Allocation_19,Charter_Fed_Dist_Allocation_19,Charter_State_Dist_Allocation_19,total_weighted_cc_19,total_weighted_cc_fed_19,total_weighted_cc_state_19,school_with_cc_19,school_with_cc_fed_19,school_with_cc_state_19,k12_enrollment_19,school_ppe_19,school_ppe_fed_19,school_ppe_sl_19,amount_23,Federal_Amt_23,State_Local_Amt_23,excluded_23,dist_enroll_23,weight_23,centralcost_23,central_fed_amt_23,central_state_amt_23,Charter_Dist_Allocation_23,Charter_Fed_Dist_Allocation_23,Charter_State_Dist_Allocation_23,total_weighted_cc_23,total_weighted_cc_fed_23,total_weighted_cc_state_23,school_with_cc_23,school_with_cc_fed_23,school_with_cc_state_23,k12_enrollment_23,school_ppe_23,school_ppe_fed_23,school_ppe_sl_23,amount_24,Federal_Amt_24,State_Local_Amt_24,excluded_24,dist_enroll_24,weight_24,centralcost_24,central_fed_amt_24,central_state_amt_24,Charter_Dist_Allocation_24,Charter_Fed_Dist_Allocation_24,Charter_State_Dist_Allocation_24,total_weighted_cc_24,total_weighted_cc_fed_24,total_weighted_cc_state_24,school_with_cc_24,school_with_cc_fed_24,school_with_cc_state_24,k12_enrollment_24,school_ppe_24,school_ppe_fed_24,school_ppe_sl_24,schoolyear,single_score_24,single_score_23,singlescore_19,PPE_Avg,State_Local_Exp_PPE_Avg,Federal_Exp_PPE_Avg,SS_Avg,FESR,note,Location ZIP [Public School] 2023-24,source_file
660390,660,Fulton County,390,Randolph Elementary School,5022260.21,0.0,5022260.21,613926.69,87514.0,0.006000000052154,166976381.8,13164729.4,153811652.4,0.0,0.0,0.0,1001858.3125,78988.375,922869.9375,6024118.5,78988.375,5945130.0,523.0,11518.3896484375,151.029998779297,11367.3603515625,5527182.91,439502.31,5087680.6,632200.34,83128.0,0.0054999999701976,223313189.37,56634970.96,166678218.41,0.0,0.0,0.0,1228222.5,311492.34375,916730.1875,6755405.5,750994.625,6004411.0,454.0,14879.75,1654.17004394531,13225.580078125,6424405.55,586079.17,5838326.38,1790517.06,81997.0,0.0057000000961124,304578707.36,70978604.54,233600102.84,0.0,0.0,0.0,1736098.625,404578.0625,1331520.625,8160504.0,990657.25,7169847.0,465,17549.470703125,2130.44995117188,15419.0302734375,2024,76.4,71.5,66.0,14649.2,13337.32,1311.88,71.3,2.0,,30331,School_FESR_FY24_for_Display.csv
7830617617,7830617,State Charter Schools,617,Resurgence Hall Charter School,1992128.69,335402.71,1656725.98,812244.92,,,,,,0.0,0.0,0.0,,,,1992128.75,335402.71875,1656726.0,183.0,10885.9501953125,1832.80004882813,9053.150390625,5334981.35,311208.0,5023773.35,4929375.03,,,,,,0.0,0.0,0.0,,,,5334981.5,311208.0,5023773.5,403.0,13238.169921875,772.22998046875,12465.9404296875,5459656.74,806122.38,4653534.36,5846456.81,,,,,,0.0,0.0,0.0,,,,5459656.5,806122.375,4653534.5,407,13414.3896484375,1980.64001464844,11433.75,2024,79.5,97.6,93.4,12512.84,10984.28,1528.56,90.2,4.0,,30344,School_FESR_FY24_for_Display.csv
7830641641,7830641,State Charter Schools,641,Resurgence Hall Middle Academy,,,,,,,,,,,,,,,,,,,,,,,1758525.18,806666.5,951858.68,785000.76,,,,,,0.0,0.0,0.0,,,,1758525.125,806666.5,951858.6875,77.0,22837.990234375,10476.1904296875,12361.7998046875,2197262.9,205602.97,1991659.93,1885774.32,,,,,,0.0,0.0,0.0,,,,2197263.0,205602.96875,1991659.875,133,16520.779296875,1545.89001464844,14974.8896484375,2024,80.6,83.5,,,,,,,This school is missing one or more years of PPE or Single Score data,30344,School_FESR_FY24_for_Display.csv
660286,660,Fulton County,286,Ridgeview Charter School,10353790.67,70266.08,10283524.59,619414.05,87514.0,0.0125000001862645,166976381.8,13164729.4,153811652.4,0.0,0.0,0.0,2087502.25,164559.125,1922943.125,12441293.0,234825.203125,12206468.0,1095.0,11361.91015625,214.449996948242,11147.4599609375,11568095.35,630583.6,10937511.75,756387.31,83128.0,0.0120000001043081,223313189.37,56634970.96,166678218.41,0.0,0.0,0.0,2738390.0,679619.6875,2058770.375,14306486.0,1310203.25,12996282.0,996.0,14363.9404296875,1315.46997070313,13048.48046875,12352393.13,472487.08,11879906.05,587913.07,81997.0,0.0116999996826053,304578707.36,70978604.54,233600102.84,0.0,0.0,0.0,3563570.75,830449.625,2733121.25,15915964.0,1302936.75,14613027.0,963,16527.48046875,1353.0,15174.48046875,2024,83.3,76.2,72.3,14084.44,13123.47,960.97,77.3,2.5,,30342,School_FESR_FY24_for_Display.csv
7830647647,7830647,State Charter Schools,647,RISE Preparatory Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7605883.82,0.0,7605883.82,-4458108.59,,,,,,0.0,0.0,0.0,,,,7605884.0,0.0,7605884.0,457,16643.0703125,0.0,16643.0703125,2024,62.0,,,,,,,,This school is missing one or more years of PPE or Single Score data,30344,School_FESR_FY24_for_Display.csv
644399,644,DeKalb County,399,Robert Shaw Theme School,3976542.0,219335.66,3757206.34,385470.17,92113.0,0.0048000002279877,310061613.73,27546096.05,282515517.69,0.0,0.0,0.0,1490157.0,132221.265625,1357935.625,5466699.0,351556.9375,5115142.0,439.0,12452.6201171875,800.809997558594,11651.7998046875,3535339.23,174598.47,3360740.76,387868.06,84984.0,0.0038000000640749,415680236.8,66572340.14,349107896.65,0.0,0.0,0.0,1579584.875,252974.890625,1326610.0,5114924.0,427573.375,4687351.0,322.0,15884.8603515625,1327.86999511719,14556.990234375,4200773.02,351419.19,3849353.83,368780.93,83863.0,0.0035000001080334,475158386.419999,103497330.34,371661056.08,0.0,0.0,0.0,1663054.375,362240.65625,1300813.75,5863827.5,713659.875,5150167.5,293,20013.060546875,2435.69995117188,17577.359375,2024,97.5,84.8,80.4,16116.85,14595.38,1521.46,87.6,2.5,,30079,School_FESR_FY24_for_Display.csv
644409,644,DeKalb County,409,Ronald E McNair Discover Learning Academy Elementary School,5671175.85,442906.41,5228269.44,679432.51,92113.0,0.0071999998763203,310061613.73,27546096.05,282515517.69,0.0,0.0,0.0,2235235.25,198331.890625,2036903.375,7906411.0,641238.3125,7265172.5,659.0,11997.58984375,973.049987792969,11024.5400390625,5153860.39,571372.14,4582488.25,680216.18,84984.0,0.0059000002220273,415680236.8,66572340.14,349107896.65,0.0,0.0,0.0,2452513.5,392776.8125,2059736.625,7606374.0,964148.9375,6642225.0,502.0,15152.1396484375,1920.61999511719,13231.51953125,5928194.55,689873.75,5238320.8,836353.92,83863.0,0.0055999998003244,475158386.419999,103497330.34,371661056.08,0.0,0.0,0.0,2660886.75,579585.0,2081301.875,8589081.0,1269458.75,7319622.5,469,18313.609375,2706.73999023438,15606.8701171875,2024,51.1,68.0,41.3,15154.45,13287.64,1866.8,53.5,1.0,,30032,School_FESR_FY24_for_Display.csv
6445065,644,DeKalb County,5065,Sagamore Hills Elementary School,4131673.34,460803.88,3670869.46,265540.79,92113.0,0.0043999999761581,310061613.73,27546096.05,282515517.69,0.0,0.0,0.0,1365986.875,121202.8203125,1244784.0,5497660.0,582006.6875,4915653.0,404.0,13608.0703125,1440.60998535156,12167.4599609375,4864159.59,569153.48,4295006.11,464794.47,84984.0,0.0046999999321997,415680236.8,66572340.14,349107896.65,0.0,0.0,0.0,1953697.125,312890.0,1640807.125,6817856.5,882043.5,5935813.0,396.0,17216.810546875,2227.3798828125,14989.4296875,5133705.93,598945.16,4534760.77,354997.32,83863.0,0.0046999999321997,475158386.419999,103497330.34,371661056.08,0.0,0.0,0.0,2233244.5,486437.4375,1746807.0,7366950.5,1085382.625,6281568.0,394,18697.83984375,2754.78002929688,15943.0703125,2024,83.5,89.1,83.6,16507.57,14366.65,2140.92,85.4,2.5,,30345,School_FESR_FY24_for_Display.csv
660505,660,Fulton County,505,Sandtown Middle School,8375331.16,235827.56,8139503.6,633945.26,87514.0,0.0102000003680587,166976381.8,13164729.4,153811652.4,0.0,0.0,0.0,1703401.875,134280.25,1569121.625,10078733.0,370107.8125,9708625.0,894.0,11273.75,413.989990234375,10859.759765625,10327917.96,858820.46,9469097.50000001,1681496.8,83128.0,0.012699999846518,223313189.37,56634970.96,166678218.41,0.0,0.0,0.0,2898299.0,719264.125,2179034.75,13226216.0,1578084.625,11648132.0,1057.0,12512.98046875,1492.97998046875,11019.990234375,12134315.41,868846.18,11265469.23,1390228.86,81997.0,0.0121999997645617,304578707.36,70978604.54,233600102.84,0.0,0.0,0.0,3715860.25,865938.9375,2849921.25,15850176.0,1734785.125,14115390.0,1004,15787.0302734375,1727.86999511719,14059.150390625,2024,79.2,75.9,81.0,13191.25,11979.63,1211.61,78.7,2.5,,30331,School_FESR_FY24_for_Display.csv
7611567,761,Atlanta Public Schools,1567,Sara Rawson Smith Elementary School,8007289.78,34762.86,7972526.92,870623.56,40154.0,0.0243999995291233,189665292.71,16112002.97,173553289.72,0.0,0.0,0.0,4642393.5,393132.875,4249260.5,12649684.0,427895.75,12221788.0,979.0,12921.0302734375,437.070007324219,12483.9501953125,9486311.72,325322.94,9160988.78,193302.04,37162.0,0.0227000005543232,317658619.62,69701144.91,247957474.72,0.0,0.0,0.0,7210851.0,1582216.0,5628635.0,16697163.0,1907539.0,14789624.0,844.0,19783.369140625,2260.1201171875,17523.25,11046954.08,467735.41,10579218.67,1394063.86,37529.0,0.0219999998807907,361642054.67,54006398.81,307635655.84,0.0,0.0,0.0,7956125.0,1188140.75,6767984.5,19003080.0,1655876.125,17347204.0,826,23006.150390625,2004.68994140625,21001.4609375,2024,77.2,74.2,91.0,18570.18,17002.89,1567.29,80.8,2.5,,30342,School_FESR_FY24_for_Display.csv
